key,0,1
#,,
int32,str,str
0,"TEXT_FESYKWMEDALEXCHANGE_00348_ACTOR_000_000","（★未使用／削除予定★）"
1,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_000_000","ああ、キミか……。
「妖怪メダル」と妖怪ミニオンの交換かい？
それとも、お望みはカッコイイ武器かな？"
2,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_100_000","おお、武器コレクターのキミか！
今日はオレに会いにきてくれたのかい？
それとも、まだ欲しい物でもあるのかな？"
3,"TEXT_FESYKWMEDALEXCHANGE_00348_ACTOR_000_001","（★未使用／削除予定★）"
4,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_000_001","（★未使用／削除予定★）"
5,"TEXT_FESYKWMEDALEXCHANGE_00348_Q4_000_001","（★未使用／削除予定★）"
6,"TEXT_FESYKWMEDALEXCHANGE_00348_A4_000_001","（★未使用／削除予定★）"
7,"TEXT_FESYKWMEDALEXCHANGE_00348_A4_000_002","（★未使用／削除予定★）"
8,"TEXT_FESYKWMEDALEXCHANGE_00348_Q1_000_001","何をする？"
9,"TEXT_FESYKWMEDALEXCHANGE_00348_A1_000_001","ミニオンの交換"
10,"TEXT_FESYKWMEDALEXCHANGE_00348_A1_000_002","武器の交換"
11,"TEXT_FESYKWMEDALEXCHANGE_00348_A1_000_003","話を聞く"
12,"TEXT_FESYKWMEDALEXCHANGE_00348_A1_000_004","キャンセル"
13,"TEXT_FESYKWMEDALEXCHANGE_00348_Q2_000_001","どのミニオンと交換する？ 
(必要妖怪メダル数:<Value>IntegerParameter(1)</Value>　所持数:<Format(<Value>IntegerParameter(2)</Value>,FF022C)/>)"
14,"TEXT_FESYKWMEDALEXCHANGE_00348_A2_000_001","<Sheet(Companion,IntegerParameter(1),0)/>"
15,"TEXT_FESYKWMEDALEXCHANGE_00348_A2_000_002","キャンセル"
16,"TEXT_FESYKWMEDALEXCHANGE_00348_Q6_000_001","本当に「<Sheet(Companion,IntegerParameter(1),0)/>」と交換する？"
17,"TEXT_FESYKWMEDALEXCHANGE_00348_A6_000_001","はい"
18,"TEXT_FESYKWMEDALEXCHANGE_00348_A6_000_002","いいえ"
19,"TEXT_FESYKWMEDALEXCHANGE_00348_ACTOR_000_002","（★未使用／削除予定★）"
