key,0,1,2,3
#,Icon,JournalCategory,,Name
int32,Image,JournalCategory,bit&01,str
0,,"无效分类",False,""
1,"ui/icon/061000/061412.tex","重生之境主线任务",True,"重生之境"
2,"ui/icon/061000/061412.tex","第七星历主线任务",True,"第七星历"
3,"ui/icon/061000/061412.tex","苍穹之禁城主线任务",True,"苍穹之禁城"
4,"ui/icon/061000/061412.tex","龙诗战争终章主线任务",True,"龙诗战争终章"
5,"ui/icon/061000/061412.tex","龙诗战争尾声主线任务",True,"龙诗战争尾声"
6,"ui/icon/061000/061412.tex","红莲之狂潮主线任务",True,"红莲之狂潮"
7,"ui/icon/061000/061412.tex","解放战争战后主线任务",True,"解放战争战后"
8,"ui/icon/061000/061412.tex","暗影之逆焰主线任务",True,"暗影之逆焰"
9,"ui/icon/061000/061412.tex","拂晓回归主线任务",True,"拂晓回归"
10,"ui/icon/061000/061412.tex","末日序曲主线任务",True,"末日序曲"
11,"ui/icon/061000/061412.tex","晓月之终途主线任务",True,"晓月之终途"
12,"ui/icon/061000/061412.tex","崭新的冒险主线任务",True,"崭新的冒险"
13,"ui/icon/061000/061411.tex","第七星历编年史：蛮神",True,"蛮神威胁"
14,"ui/icon/061000/061411.tex","第七星历编年史：巴哈姆特",True,"巴哈姆特"
15,"ui/icon/061000/061411.tex","第七星历编年史：水晶塔",True,"水晶塔"
16,"ui/icon/061000/061411.tex","第七星历编年史：亚历山大",True,"亚历山大"
17,"ui/icon/061000/061411.tex","第七星历编年史：上古众神",True,"上古众神"
18,"ui/icon/061000/061411.tex","第七星历编年史：玛哈之影",True,"玛哈之影"
19,"ui/icon/061000/061411.tex","第七星历编年史：欧米茄",True,"欧米茄时空狭缝"
20,"ui/icon/061000/061411.tex","第七星历编年史：欧米茄",True,"欧米茄时空狭缝外传"
21,"ui/icon/061000/061411.tex","第七星历编年史：重返伊瓦利斯",True,"重返伊瓦利斯"
22,"ui/icon/061000/061411.tex","第七星历编年史：四圣兽奇谭",True,"四圣兽奇谭"
23,"ui/icon/061000/061411.tex","第七星历编年史：伊甸",True,"伊甸"
24,"ui/icon/061000/061411.tex","寄叶异闻：暗黑天启",True,"寄叶异闻：暗黑天启"
25,"ui/icon/061000/061411.tex","第七星历编年史：维尔利特战役",True,"神兵系列"
26,"ui/icon/061000/061411.tex","第七星历编年史：万魔殿",True,"万魔殿"
27,"ui/icon/061000/061411.tex","第七星历编年史：艾欧泽亚神话",True,"艾欧泽亚神话"
28,"ui/icon/061000/061411.tex","悌阳象族任务",True,"剧情任务"
29,"ui/icon/061000/061411.tex","悌阳象族任务",True,"日常任务"
30,"ui/icon/061000/061411.tex","蜥蜴人族任务",True,"剧情任务"
31,"ui/icon/061000/061411.tex","蜥蜴人族任务",True,"日常任务"
32,"ui/icon/061000/061411.tex","妖精族任务",True,"剧情任务"
33,"ui/icon/061000/061411.tex","妖精族任务",True,"日常任务"
34,"ui/icon/061000/061411.tex","地灵族任务",True,"剧情任务"
35,"ui/icon/061000/061411.tex","地灵族任务",True,"日常任务"
36,"ui/icon/061000/061411.tex","鱼人族任务",True,"剧情任务"
37,"ui/icon/061000/061411.tex","鱼人族任务",True,"日常任务"
38,"ui/icon/061000/061411.tex","鸟人族任务",True,"剧情任务"
39,"ui/icon/061000/061411.tex","鸟人族任务",True,"日常任务"
40,"ui/icon/061000/061411.tex","瓦努族任务",True,"剧情任务"
41,"ui/icon/061000/061411.tex","瓦努族任务",True,"日常任务"
42,"ui/icon/061000/061411.tex","骨颌族任务",True,"剧情任务"
43,"ui/icon/061000/061411.tex","骨颌族任务",True,"日常任务"
44,"ui/icon/061000/061411.tex","莫古力族任务",True,"剧情任务"
45,"ui/icon/061000/061411.tex","莫古力族任务",True,"日常任务"
46,"ui/icon/061000/061411.tex","甲人族任务",True,"剧情任务"
47,"ui/icon/061000/061411.tex","甲人族任务",True,"日常任务"
48,"ui/icon/061000/061411.tex","阿难陀族任务",True,"剧情任务"
49,"ui/icon/061000/061411.tex","阿难陀族任务",True,"日常任务"
50,"ui/icon/061000/061411.tex","鲶鱼精族任务",True,"剧情任务"
51,"ui/icon/061000/061411.tex","鲶鱼精族任务",True,"日常任务"
52,"ui/icon/061000/061411.tex","仙子族任务",True,"剧情任务"
53,"ui/icon/061000/061411.tex","仙子族任务",True,"日常任务"
54,"ui/icon/061000/061411.tex","奇塔利族任务",True,"剧情任务"
55,"ui/icon/061000/061411.tex","奇塔利族任务",True,"日常任务"
56,"ui/icon/061000/061411.tex","矮人族任务",True,"剧情任务"
57,"ui/icon/061000/061411.tex","矮人族任务",True,"日常任务"
58,"ui/icon/061000/061411.tex","支线剧情任务",True,"非著名调查员"
59,"ui/icon/061000/061411.tex","支线剧情任务",True,"非著名调查员：苍穹之章"
60,"ui/icon/061000/061411.tex","支线剧情任务",True,"非著名调查员：红莲之章"
61,"ui/icon/061000/061411.tex","支线剧情任务",True,"希尔迪布兰德归来"
62,"ui/icon/061000/061411.tex","支线剧情任务",True,"圣恩达利姆神学院记"
63,"ui/icon/061000/061411.tex","支线剧情任务",True,"龙诗战争外传"
64,"ui/icon/061000/061411.tex","支线剧情任务",True,"异国的诗人"
65,"ui/icon/061000/061411.tex","支线剧情任务",True,"黄道武器"
66,"ui/icon/061000/061411.tex","支线剧情任务",True,"元灵武器"
67,"ui/icon/061000/061411.tex","支线剧情任务",True,"禁地优雷卡"
68,"ui/icon/061000/061411.tex","支线剧情任务",True,"天佑女王"
69,"ui/icon/061000/061411.tex","支线剧情任务",True,"邮差莫古力"
70,"ui/icon/061000/061411.tex","支线剧情任务",True,"蛮族盟友"
71,"ui/icon/061000/061411.tex","支线剧情任务",True,"蛮族盟友：苍穹之章"
72,"ui/icon/061000/061411.tex","支线剧情任务",True,"蛮族盟友：红莲之章"
73,"ui/icon/061000/061411.tex","支线剧情任务",True,"多玛冒险者团"
74,"ui/icon/061000/061411.tex","支线剧情任务",True,"多玛飞地重建记"
75,"ui/icon/061000/061411.tex","支线剧情任务",True,"拂晓回归外传"
76,"ui/icon/061000/061411.tex","支线剧情任务",True,"虚无界再生计划"
77,"ui/icon/061000/061411.tex","支线剧情任务",True,"塔塔露的大繁荣商店"
78,"ui/icon/061000/061411.tex","支线剧情任务",True,"重建伊修加德：剧情任务"
79,"ui/icon/061000/061411.tex","支线剧情任务",True,"重建伊修加德：支线任务"
80,"ui/icon/061000/061411.tex","拉诺西亚支线任务",True,"支线任务：拉诺西亚"
81,"ui/icon/061000/061411.tex","黑衣森林支线任务",True,"支线任务：黑衣森林"
82,"ui/icon/061000/061411.tex","萨纳兰支线任务",True,"支线任务：萨纳兰"
83,"ui/icon/061000/061411.tex","库尔札斯支线任务",True,"支线任务：库尔札斯"
84,"ui/icon/061000/061411.tex","摩杜纳支线任务",True,"支线任务：摩杜纳"
85,"ui/icon/061000/061411.tex","伊修加德支线任务",True,"支线任务：伊修加德"
86,"ui/icon/061000/061411.tex","阿巴拉提亚支线任务",True,"支线任务：阿巴拉提亚云海"
87,"ui/icon/061000/061411.tex","龙堡支线任务",True,"支线任务：龙堡参天高地"
88,"ui/icon/061000/061411.tex","龙堡支线任务",True,"支线任务：龙堡内陆低地"
89,"ui/icon/061000/061411.tex","龙堡支线任务",True,"支线任务：翻云雾海"
90,"ui/icon/061000/061411.tex","龙堡支线任务",True,"支线任务：田园郡"
91,"ui/icon/061000/061411.tex","魔大陆支线任务",True,"支线任务：魔大陆"
92,"ui/icon/061000/061411.tex","基拉巴尼亚支线任务",True,"支线任务：神拳痕"
93,"ui/icon/061000/061411.tex","基拉巴尼亚支线任务",True,"支线任务：基拉巴尼亚边区"
94,"ui/icon/061000/061411.tex","基拉巴尼亚支线任务",True,"支线任务：基拉巴尼亚山区"
95,"ui/icon/061000/061411.tex","基拉巴尼亚支线任务",True,"支线任务：基拉巴尼亚湖区"
96,"ui/icon/061000/061411.tex","远东之国支线任务",True,"支线任务：黄金港"
97,"ui/icon/061000/061411.tex","奥萨德支线任务",True,"支线任务：红玉海"
98,"ui/icon/061000/061411.tex","奥萨德支线任务",True,"支线任务：延夏"
99,"ui/icon/061000/061411.tex","奥萨德支线任务",True,"支线任务：太阳神草原"
100,"ui/icon/061000/061411.tex","雷克兰德支线任务",True,"支线任务：水晶都"
101,"ui/icon/061000/061411.tex","珂露西亚岛支线任务",True,"支线任务：游末邦"
102,"ui/icon/061000/061411.tex","雷克兰德支线任务",True,"支线任务：雷克兰德"
103,"ui/icon/061000/061411.tex","珂露西亚岛支线任务",True,"支线任务：珂露西亚岛"
104,"ui/icon/061000/061411.tex","安穆·艾兰支线任务",True,"支线任务：安穆·艾兰"
105,"ui/icon/061000/061411.tex","伊尔美格支线任务",True,"支线任务：伊尔美格"
106,"ui/icon/061000/061411.tex","拉凯提卡大森林支线任务",True,"支线任务：拉凯提卡大森林"
107,"ui/icon/061000/061411.tex","黑风海支线任务",True,"支线任务：黑风海"
108,"ui/icon/061000/061411.tex","萨雷安支线任务",True,"支线任务：旧萨雷安"
109,"ui/icon/061000/061411.tex","萨维奈岛支线任务",True,"支线任务：拉札罕"
110,"ui/icon/061000/061411.tex","萨雷安支线任务",True,"支线任务：迷津"
111,"ui/icon/061000/061411.tex","萨维奈岛支线任务",True,"支线任务：萨维奈岛"
112,"ui/icon/061000/061411.tex","加雷马支线任务",True,"支线任务：加雷马"
113,"ui/icon/061000/061411.tex","叹息海支线任务",True,"支线任务：叹息海"
114,"ui/icon/061000/061411.tex","厄尔庇斯支线任务",True,"支线任务：厄尔庇斯"
115,"ui/icon/061000/061411.tex","天外天垓支线任务",True,"支线任务：天外天垓"
116,"ui/icon/062000/062301.tex","战斗精英职业任务",True,"剑术师任务"
117,"ui/icon/062000/062302.tex","战斗精英职业任务",True,"格斗家任务"
118,"ui/icon/062000/062303.tex","战斗精英职业任务",True,"斧术师任务"
119,"ui/icon/062000/062304.tex","战斗精英职业任务",True,"枪术师任务"
120,"ui/icon/062000/062305.tex","战斗精英职业任务",True,"弓箭手任务"
121,"ui/icon/062000/062309.tex","战斗精英职业任务",True,"双剑师任务"
122,"ui/icon/062000/062306.tex","魔法导师职业任务",True,"幻术师任务"
