key,0,1,2
#,Name,ClassJob,PreviousComboAction
int32,Action,ClassJob,Action
0,"",,""
1,"ブレード・オブ・フェイス","ナイト","コンフィテオル"
2,"ブレード・オブ・トゥルース","ナイト","コンフィテオル"
3,"ブレード・オブ・ヴァラー","ナイト","コンフィテオル"
4,"カオティックサイクロン","戦士","デシメート"
5,"インナーカオス","戦士","フェルクリーヴ"
6,"ソルト・アンド・ダーク","暗黒騎士","ソルトアース"
7,"サベッジクロウ","ガンブレイカー","ビートファング"
8,"ウィケッドタロン","ガンブレイカー","ビートファング"
9,"ジャギュラーリップ","ガンブレイカー","コンティニュエーション"
10,"アブドメンテアー","ガンブレイカー","コンティニュエーション"
11,"アイガウジ","ガンブレイカー","コンティニュエーション"
12,"ハイパーヴェロシティ","ガンブレイカー","コンティニュエーション"
13,"鉄山靠","格闘士","闘気"
14,"陰陽闘気斬","モンク","闘気"
15,"蒼気砲","モンク","必殺技"
16,"爆裂脚","モンク","必殺技"
17,"天宙脚","モンク","必殺技"
18,"闘魂旋風脚","モンク","必殺技"
19,"鳳凰の舞","モンク","必殺技"
20,"夢幻闘舞","モンク","必殺技"
21,"ナーストレンド","竜騎士","ゲイルスコグル"
22,"竜眼雷電","竜騎士","トゥルースラスト"
23,"竜眼蒼穹","竜騎士","ドゥームスパイク"
24,"口寄せの術",,"忍術"
25,"風魔手裏剣","忍者","忍術"
26,"火遁の術","忍者","忍術"
27,"雷遁の術","忍者","忍術"
28,"氷遁の術","忍者","忍術"
29,"風遁の術","忍者","忍術"
30,"土遁の術","忍者","忍術"
31,"水遁の術","忍者","忍術"
32,"劫火滅却の術","忍者","忍術"
33,"氷晶乱流の術","忍者","忍術"
34,"残影鎌鼬","忍者","分身の術"
35,"幻影野槌","忍者",""
36,"彼岸花","侍","居合術"
37,"天下五剣","侍","居合術"
38,"乱れ雪月花","侍","居合術"
39,"返し彼岸花","侍","燕返し"
40,"返し五剣","侍","燕返し"
41,"返し雪月花","侍","燕返し"
42,"返し波切","侍","燕返し"
43,"ジビトゥクロウ","リーパー","ストークスウェーズ"
44,"ギャロウズクロウ","リーパー","ストークスウェーズ"
