key,0,1,2,3,4,5,6,7,8
#,,Item,Location[0],Location[1],Location[2],,,,
int32,uint16,Item,TerritoryType,TerritoryType,TerritoryType,uint16,uint16,uint16,str
0,0,"",,,,0,0,0,""
1,200,"妖怪レジェンドメダル:ジバニャン","f1f1","s1f2","w1f2",0,0,0,"ニャン！"
2,201,"妖怪レジェンドメダル:コマさん","f1f2","s1f4","w1f3",0,0,0,"もんげ～！"
3,202,"妖怪レジェンドメダル:ウィスパー","f1f3","s1f5","w1f4",0,0,0,"うぃす！"
4,203,"妖怪レジェンドメダル:ふぶき姫","f1f4","s1f6","s1f1",0,0,0,"夏バテだわ…"
5,204,"妖怪レジェンドメダル:キュウビ","w1f1","f1f1","s1f2",0,0,0,"バカバカしい…"
6,205,"妖怪レジェンドメダル:コマじろう","w1f2","f1f2","s1f4",0,0,0,"ズラ…"
7,206,"妖怪レジェンドメダル:じんめん犬","w1f3","f1f3","s1f5",0,0,0,"チクショー！"
8,207,"妖怪レジェンドメダル:ツチノコ","w1f4","f1f4","s1f6",0,0,0,"キュピーン！"
9,208,"妖怪レジェンドメダル:オロチ","s1f1","w1f1","f1f1",0,0,0,"フン…！"
10,209,"妖怪レジェンドメダル:ブシニャン","s1f2","w1f2","f1f2",0,0,0,"ぶ、武士の情けニャ…"
11,210,"妖怪レジェンドメダル:フユニャン","s1f4","w1f3","f1f3",0,0,0,"いくゼ！"
12,211,"妖怪レジェンドメダル:ロボニャンＦ型","s1f5","w1f4","f1f4",0,0,0,"セツデンチュウ…"
13,212,"妖怪レジェンドメダル:ＵＳＡピョン","s1f6","s1f1","w1f1",0,0,0,"ダニ！！"
14,392,"妖怪レジェンドメダル:ぬらりひょん","r2f1","d2f1","d2f2",400,401,402,"エンマ様！"
15,391,"妖怪レジェンドメダル:蛇王カイラ","r2f1","d2f1","d2f2",400,401,402,"ゆくぞ、皆の者！"
16,390,"妖怪レジェンドメダル:エンマ","g3f1","e3f1","e3f2",620,621,622,"待たせたな！"
17,393,"妖怪レジェンドメダル:百鬼姫","g3f1","e3f1","e3f2",620,621,622,"参るのじゃ！"
