key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,Name,NotebookDivisionCategory,CraftOpeningLevel,GatheringOpeningLevel,QuestUnlock,,,CRPCraft,BSMCraft,ARMCraft,GSMCraft,LTWCraft,WVRCraft,ALCCraft,CULCraft
int32,str,NotebookDivisionCategory,byte,byte,Quest,byte,bit&01,bool,bool,bool,bool,bool,bool,bool,bool
0,"1-5","",0,0,,0,False,True,True,True,True,True,True,True,True
1,"6-10","",3,5,,0,False,True,True,True,True,True,True,True,True
2,"11-15","",8,10,,0,False,True,True,True,True,True,True,True,True
3,"16-20","",13,15,,0,False,True,True,True,True,True,True,True,True
4,"21-25","",18,20,,0,False,True,True,True,True,True,True,True,True
5,"26-30","",23,25,,0,False,True,True,True,True,True,True,True,True
6,"31-35","",28,30,,0,False,True,True,True,True,True,True,True,True
7,"36-40","",33,35,,0,False,True,True,True,True,True,True,True,True
8,"41-45","",38,40,,0,False,True,True,True,True,True,True,True,True
9,"46-50","",43,45,,0,False,True,True,True,True,True,True,True,True
10,"51-55","",48,50,,0,False,True,True,True,True,True,True,True,True
11,"56-60","",53,55,,0,False,True,True,True,True,True,True,True,True
12,"61-65","",58,60,,0,False,True,True,True,True,True,True,True,True
13,"66-70","",63,65,,0,False,True,True,True,True,True,True,True,True
14,"71-75","",68,70,,0,False,True,True,True,True,True,True,True,True
15,"76-80","",73,75,,0,False,True,True,True,True,True,True,True,True
16,"81-85","",255,255,,0,False,True,True,True,True,True,True,True,True
17,"86-90","",255,255,,0,False,True,True,True,True,True,True,True,True
18,"91-95","",255,255,,0,False,True,True,True,True,True,True,True,True
19,"96-100","",255,255,,0,False,True,True,True,True,True,True,True,True
20,"101-105","",255,255,,0,False,True,True,True,True,True,True,True,True
21,"106-110","",255,255,,0,False,True,True,True,True,True,True,True,True
22,"111-115","",255,255,,0,False,True,True,True,True,True,True,True,True
23,"116-120","",255,255,,0,False,True,True,True,True,True,True,True,True
24,"121-125","",255,255,,0,False,True,True,True,True,True,True,True,True
25,"126-130","",255,255,,0,False,True,True,True,True,True,True,True,True
26,"131-135","",255,255,,0,False,True,True,True,True,True,True,True,True
27,"136-140","",255,255,,0,False,True,True,True,True,True,True,True,True
28,"141-145","",255,255,,0,False,True,True,True,True,True,True,True,True
29,"146-150","",255,255,,0,False,True,True,True,True,True,True,True,True
30,"151-155","",255,255,,0,False,True,True,True,True,True,True,True,True
31,"156-160","",255,255,,0,False,True,True,True,True,True,True,True,True
32,"161-175","",255,255,,0,False,True,True,True,True,True,True,True,True
33,"166-170","",255,255,,0,False,True,True,True,True,True,True,True,True
34,"171-175","",255,255,,0,False,True,True,True,True,True,True,True,True
35,"176-180","",255,255,,0,False,True,True,True,True,True,True,True,True
36,"181-185","",255,255,,0,False,True,True,True,True,True,True,True,True
37,"186-190","",255,255,,0,False,True,True,True,True,True,True,True,True
38,"191-195","",255,255,,0,False,True,True,True,True,True,True,True,True
39,"196-200","",255,255,,0,False,True,True,True,True,True,True,True,True
40,"[翻訳不要] レベル区分終端","",255,255,,0,False,True,True,True,True,True,True,True,True
1000,"秘籍：第1卷","秘籍",50,255,,1,True,True,True,True,True,True,True,True,True
1001,"秘籍：第2卷","秘籍",50,255,,2,True,True,True,True,True,True,True,True,True
1002,"秘籍：第3卷","秘籍",50,255,,3,True,True,True,True,True,True,True,True,True
1003,"秘籍：第4卷","秘籍",60,255,,4,True,True,True,True,True,True,True,True,True
1004,"秘籍：第5卷","秘籍",70,255,,5,True,True,True,True,True,True,True,True,True
1005,"秘籍：第6卷","秘籍",70,255,,6,True,True,True,True,True,True,True,True,True
1006,"秘籍：第7卷","秘籍",80,255,,7,True,True,True,True,True,True,True,True,True
1007,"秘籍：第8卷","秘籍",80,255,,8,True,True,True,True,True,True,True,True,True
1008,"秘籍：其他","秘籍",15,255,,9,True,True,True,True,True,True,True,True,True
1009,"房屋1","房屋",12,255,,1,False,True,True,True,True,True,True,True,True
1010,"房屋2","房屋",12,255,,2,False,True,True,True,True,True,True,True,True
1011,"染剂","其他",30,255,,1,False,True,True,True,True,True,True,True,True
1012,"","",0,0,,0,False,False,False,False,False,False,False,False,False
1013,"职业任务","职业故事",61,255,,1,False,True,True,True,True,True,True,True,True
1014,"中庸工艺馆交易","职业故事",70,255,"新锐经营者伊奥拉",2,False,False,True,True,True,False,False,False,False
1015,"中庸工艺馆交易","职业故事",70,255,"实录数据001“熟练的新人工匠”",3,False,True,False,False,False,True,True,False,False
1016,"中庸工艺馆交易","职业故事",70,255,"兽医贝斯里克",4,False,False,False,False,False,False,False,True,True
1017,"鸟人族","蛮族任务",1,255,,1,False,True,True,True,True,True,True,True,True
1018,"莫古力族","蛮族任务",50,255,,2,False,True,True,True,True,True,True,True,True
1019,"鲶鱼精族","蛮族任务",60,255,,3,False,True,True,True,True,True,True,True,True
1020,"熙洛·阿里亚珀","老主顾交易",55,255,,1,False,True,True,True,True,True,True,True,True
1021,"梅·娜格","老主顾交易",55,255,,2,False,True,True,True,True,True,True,True,True
1022,"红","老主顾交易",55,255,,3,False,True,True,True,True,True,True,True,True
1023,"亚德基拉","老主顾交易",55,255,,4,False,True,True,True,True,True,True,True,True
1024,"凯·希尔","老主顾交易",55,255,,5,False,True,True,True,True,True,True,True,True
1025,"联合重建1","重建伊修加德",20,255,,1,False,True,True,True,True,True,True,True,True
1026,"其他","重建伊修加德",20,255,,5,False,True,True,True,True,True,True,True,True
1027,"联合重建2","重建伊修加德",20,255,,2,False,True,True,True,True,True,True,True,True
1028,"天钢工具","重建伊修加德",80,255,"沉睡于工房的陈旧工具",4,False,True,True,True,True,True,True,True,True
1029,"矮人族","蛮族任务",70,255,,4,False,True,True,True,True,True,True,True,True
1030,"艾尔·图","老主顾交易",55,255,,6,False,True,True,True,True,True,True,True,True
1031,"","",0,0,,0,False,False,False,False,False,False,False,False,False
1032,"50-60","收藏品交易",50,255,,1,False,True,True,True,True,True,True,True,True
1033,"61-70","收藏品交易",61,255,,2,False,True,True,True,True,True,True,True,True
1034,"71-80","收藏品交易",70,255,,3,False,True,True,True,True,True,True,True,True
1035,"时尚配饰","其他",50,255,,3,False,False,False,False,False,False,False,True,False
1036,"","",0,0,,0,False,False,False,False,False,False,False,False,False
2000,"传承录·库尔札斯篇","",255,50,,0,False,True,True,True,True,True,True,True,True
2001,"传承录·龙堡篇","",255,50,,0,False,True,True,True,True,True,True,True,True
2002,"传承录·阿巴拉提亚篇","",255,50,,0,False,True,True,True,True,True,True,True,True
2003,"传承录·基拉巴尼亚篇","",255,60,,0,False,True,True,True,True,True,True,True,True
2004,"传承录·奥萨德篇","",255,60,,0,False,True,True,True,True,True,True,True,True
2005,"传承录·诺弗兰特篇","",255,70,,0,False,True,True,True,True,True,True,True,True
2006,"重建伊修加德","",255,1,,0,False,True,True,True,True,True,True,True,True
2007,"天钢工具","",255,80,"沉睡于工房的陈旧工具",0,False,True,True,True,True,True,True,True,True
2008,"","",255,255,,0,False,True,True,True,True,True,True,True,True
