key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,LogMessage,KeyItem,ItemPouch,,Material[0],Amount[0],Material[1],Amount[1],Material[2],Amount[2],Material[3],Amount[3],Material[4],Amount[4],Order
int32,LogMessage,MJIKeyItem,MJIItemPouch,byte,MJIRecipeMaterial,byte,MJIRecipeMaterial,byte,MJIRecipeMaterial,byte,MJIRecipeMaterial,byte,MJIRecipeMaterial,byte,byte
0,"可以从无人岛的树木采集新的开拓素材了！","开拓用石斧","无人岛棕榈叶",1,"无人岛小树枝",2,"无人岛石材",2,"无人岛棕榈叶",3,"无人岛棕榈叶",0,"无人岛棕榈叶",0,20
1,"可以从无人岛的岩石采集新的开拓素材了！","开拓用石锤","无人岛棕榈叶",1,"无人岛石材",3,"无人岛原木",2,"无人岛藤蔓",4,"无人岛棕榈叶",0,"无人岛棕榈叶",0,21
2,"可以从无人岛的土壤采集新的开拓素材了！","开拓用铜铲","无人岛棕榈叶",1,"无人岛原木",3,"无人岛藤蔓",3,"无人岛铜矿",4,"无人岛棕榈叶",0,"无人岛棕榈叶",0,22
3,"可以从无人岛的花草采集新的开拓素材了！","开拓用铜镰","无人岛棕榈叶",1,"无人岛原木",3,"无人岛黏土",3,"无人岛铜矿",4,"无人岛棕榈叶",0,"无人岛棕榈叶",0,23
4,"可以从无人岛的海中采集新的开拓素材了！","开拓用青铜鱼叉","无人岛棕榈叶",1,"无人岛原木",3,"无人岛铜矿",3,"无人岛锡砂",3,"无人岛麻",3,"无人岛棕榈叶",0,24
5,"可以从无人岛的矿物采集新的开拓素材了！","开拓用鹤嘴锄","无人岛棕榈叶",1,"无人岛原木",3,"无人岛铜矿",4,"无人岛锡砂",4,"无人岛棉花",3,"无人岛棕榈叶",0,25
6,"将做好的工具交给耕种小员吧！","魔法人偶用耕种设备","无人岛棕榈叶",1,"无人岛棕榈原木",6,"无人岛铜矿",6,"无人岛锡砂",6,"无人岛麻",6,"无人岛棕榈叶",0,27
7,"将做好的工具交给放牧小员吧！","魔法人偶用饲养设备","无人岛棕榈叶",1,"无人岛原木",6,"无人岛铜矿",6,"无人岛锡砂",6,"无人岛棕榈叶",6,"无人岛棕榈叶",0,28
8,"将制作好的饲料喂给动物吧！","","无人岛果实饲料",3,"无人岛苹果",3,"无人岛棕榈叶",0,"无人岛棕榈叶",0,"无人岛棕榈叶",0,"无人岛棕榈叶",0,1
9,"制作了动物更喜欢的饲料，将饲料喂给动物吧！","","无人岛蔬菜饲料",3,"无人岛棕榈叶",2,"无人岛棕榈叶",0,"无人岛棕榈叶",0,"无人岛棕榈叶",0,"无人岛棕榈叶",0,2
10,"制作了动物超喜欢的饲料，将饲料喂给动物吧！","","无人岛高级蔬菜饲料",3,"无人岛棕榈叶",2,"无人岛棕榈叶",2,"无人岛棕榈叶",0,"无人岛棕榈叶",0,"无人岛棕榈叶",0,3
11,"可以捕获栖息在无人岛内的小型动物了！","","捕兽网",1,"无人岛小树枝",1,"无人岛藤蔓",2,"无人岛棕榈叶",0,"无人岛棕榈叶",0,"无人岛棕榈叶",0,10
12,"可以捕获栖息在无人岛内的中型动物了！","","捕兽绳",1,"无人岛麻",3,"无人岛铜矿",1,"无人岛棕榈叶",0,"无人岛棕榈叶",0,"无人岛棕榈叶",0,11
13,"可以捕获栖息在无人岛内的大型动物了！","","捕兽用催眠球",1,"无人岛球藻",2,"无人岛树液",1,"无人岛水母",2,"无人岛棕榈叶",0,"无人岛棕榈叶",0,12
14,"制作了用于扩张开拓据点的工具！","魔法人偶用开拓设备","无人岛棕榈叶",1,"无人岛棕榈原木",10,"无人岛藤蔓",10,"无人岛铜矿",10,"无人岛石灰岩",10,"无人岛棕榈叶",0,29
15,"制作了用于扩张开拓据点的工具！","真厉害级魔法人偶用开拓设备","无人岛棕榈叶",1,"无人岛黏土",10,"无人岛锡砂",10,"无人岛棕榈原木",10,"无人岛铜矿",10,"无人岛石灰岩",10,30
16,"制作了用于扩张开拓据点的工具！","十分厉害级魔法人偶用开拓设备","无人岛棕榈叶",1,"无人岛棉花",10,"无人岛麻",10,"无人岛黏土",10,"无人岛锡砂",10,"无人岛原木",10,31
17,"制作了用于扩张开拓据点的工具！","非常厉害级魔法人偶用开拓设备","无人岛棕榈叶",1,"无人岛铁矿",10,"无人岛石英",10,"无人岛花岗岩",10,"无人岛麻",10,"无人岛黏土",10,32
18,"可以从无人岛的树木采集更多开拓素材了！","开拓用铁斧","无人岛棕榈叶",1,"无人岛原木",3,"无人岛铁矿",2,"无人岛石英",3,"无人岛棕榈叶",0,"无人岛棕榈叶",0,26
