key,0
#,Text
int32,str
0,""
1,"チェイン数 <Value>IntegerParameter(1)</Value>以上"
2,"STR <Value>IntegerParameter(1)</Value>以上"
3,"DEX <Value>IntegerParameter(1)</Value>以上"
4,"VIT <Value>IntegerParameter(1)</Value>以上"
5,"INT <Value>IntegerParameter(1)</Value>以上"
6,"MND <Value>IntegerParameter(1)</Value>以上"
7,"PIE <Value>IntegerParameter(1)</Value>以上"
8,"<Gui(56)/>火 <Value>IntegerParameter(1)</Value>以上"
9,"<Gui(57)/>氷 <Value>IntegerParameter(1)</Value>以上"
10,"<Gui(58)/>風 <Value>IntegerParameter(1)</Value>以上"
11,"<Gui(59)/>土 <Value>IntegerParameter(1)</Value>以上"
12,"<Gui(60)/>雷 <Value>IntegerParameter(1)</Value>以上"
13,"<Gui(61)/>水 <Value>IntegerParameter(1)</Value>以上"
14,"獲得力 <Value>IntegerParameter(1)</Value>以上"
15,"識質力 <Value>IntegerParameter(1)</Value>以上"
16,"獲得力 <Value>IntegerParameter(1)</Value>未満"
17,"識質力 <Value>IntegerParameter(1)</Value>未満"
18,"「<Sheet(Status,IntegerParameter(1),0)/>」付与"
19,"GPmax <Value>IntegerParameter(1)</Value>以上"
