key,0,1,2
#,Item,Order,Category
int32,Item,uint16,CabinetCategory
0,"英骑战冠",1001,"神器装备"
1,"英骑战甲",1002,"神器装备"
2,"英骑短裤",1003,"神器装备"
3,"英骑手铠",1004,"神器装备"
4,"英骑锁甲靴",1005,"神器装备"
5,"昭武头冠",1006,"神器装备"
6,"昭武斗服",1007,"神器装备"
7,"昭武斗裤",1008,"神器装备"
8,"昭武手套",1009,"神器装备"
9,"昭武斗靴",1010,"神器装备"
10,"勇战轻盔",1011,"神器装备"
11,"勇战胸甲",1012,"神器装备"
12,"勇战马裤",1013,"神器装备"
13,"勇战手铠",1014,"神器装备"
14,"勇战骑靴",1015,"神器装备"
15,"腾龙战盔",1016,"神器装备"
16,"腾龙战铠",1017,"神器装备"
17,"腾龙马裤",1018,"神器装备"
18,"腾龙手铠",1019,"神器装备"
19,"腾龙胫甲",1020,"神器装备"
20,"咏诗礼帽",1021,"神器装备"
21,"咏诗衬衫",1022,"神器装备"
22,"咏诗紧身裤",1023,"神器装备"
23,"咏诗手箍",1024,"神器装备"
24,"咏诗凉鞋",1025,"神器装备"
25,"白愈头冠",1031,"神器装备"
26,"白愈长袍",1032,"神器装备"
27,"白愈裙裤",1033,"神器装备"
28,"白愈腕套",1034,"神器装备"
29,"白愈长靴",1035,"神器装备"
30,"黑术阔边帽",1036,"神器装备"
31,"黑术长衣",1037,"神器装备"
32,"黑术灯笼裤",1038,"神器装备"
33,"黑术手套",1039,"神器装备"
34,"黑术尖头鞋",1040,"神器装备"
35,"天龙武士盔",2001,"季节活动装备4"
36,"朱漆天龙武士盔",2002,"季节活动装备4"
37,"金箔天龙武士盔",2003,"季节活动装备4"
38,"黑漆天龙武士盔",2004,"季节活动装备4"
39,"情人坠饰",2078,"季节活动装备4"
40,"白金情人坠饰",2079,"季节活动装备4"
41,"永恋之羁绊",2080,"季节活动装备4"
42,"桃香",2037,"季节活动装备1"
43,"质朴蛋壳帽",3000,"季节活动装备1"
44,"迷彩蛋壳帽",3001,"季节活动装备1"
45,"三色蛋壳帽",3002,"季节活动装备1"
46,"暗黑蛋壳帽",3003,"季节活动装备1"
47,"陆行鸟蛋壳帽",3004,"季节活动装备1"
48,"质朴蛋戒指",3005,"季节活动装备1"
49,"迷彩蛋戒指",3006,"季节活动装备1"
50,"三色蛋戒指",3007,"季节活动装备1"
51,"暗黑蛋戒指",3008,"季节活动装备1"
52,"陆行鸟蛋戒指",3009,"季节活动装备1"
53,"火红男式夏衣",2063,"季节活动装备2"
54,"翠绿男式夏衣",2064,"季节活动装备2"
55,"蔚蓝男式夏衣",2065,"季节活动装备2"
56,"金阳男式夏衣",2066,"季节活动装备2"
57,"银月男式夏衣",2067,"季节活动装备2"
58,"火红女式夏衣",2072,"季节活动装备2"
59,"翠绿女式夏衣",2073,"季节活动装备2"
60,"蔚蓝女式夏衣",2074,"季节活动装备2"
61,"金阳女式夏衣",2075,"季节活动装备2"
62,"银月女式夏衣",2076,"季节活动装备2"
63,"火红男式夏裤",2081,"季节活动装备2"
64,"翠绿男式夏裤",2082,"季节活动装备2"
65,"蔚蓝男式夏裤",2083,"季节活动装备2"
66,"金阳男式夏裤",2084,"季节活动装备2"
67,"银月男式夏裤",2085,"季节活动装备2"
68,"火红女式夏裤",2089,"季节活动装备2"
69,"翠绿女式夏裤",2090,"季节活动装备2"
70,"蔚蓝女式夏裤",2091,"季节活动装备2"
71,"金阳女式夏裤",2092,"季节活动装备2"
72,"银月女式夏裤",2093,"季节活动装备2"
73,"南瓜头",2123,"季节活动装备3"
74,"青嫩南瓜头",2124,"季节活动装备3"
75,"白南瓜头",2125,"季节活动装备3"
76,"成熟南瓜头",2126,"季节活动装备3"
77,"驯鹿角",2139,"季节活动装备4"
78,"驯鹿装",2140,"季节活动装备4"
79,"明月耳环",2122,"季节活动装备4"
80,"爱国者项环",4019,"购入特典及其他"
81,"青蓝君子浴衣",2097,"季节活动装备2"
82,"碧绿君子浴衣",2098,"季节活动装备2"
83,"墨黑君子浴衣",2099,"季节活动装备2"
84,"丹红淑女浴衣",2100,"季节活动装备2"
85,"青蓝淑女浴衣",2101,"季节活动装备2"
86,"墨黑淑女浴衣",2102,"季节活动装备2"
