key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
#,TripleTriadCard{Fixed}[0],TripleTriadCard{Fixed}[1],TripleTriadCard{Fixed}[2],TripleTriadCard{Fixed}[3],TripleTriadCard{Fixed}[4],TripleTriadCard{Variable}[0],TripleTriadCard{Variable}[1],TripleTriadCard{Variable}[2],TripleTriadCard{Variable}[3],TripleTriadCard{Variable}[4],TripleTriadRule[0],TripleTriadRule[1],UsesRegionalRules,Fee,PreviousQuestJoin,PreviousQuest[0],PreviousQuest[1],PreviousQuest[2],StartTime,EndTime,DefaultTalk{Challenge},DefaultTalk{Unavailable},DefaultTalk{NPCWin},DefaultTalk{Draw},DefaultTalk{PCWin},,Item{PossibleReward}[0],Item{PossibleReward}[1],Item{PossibleReward}[2],Item{PossibleReward}[3]
int32,TripleTriadCard,TripleTriadCard,TripleTriadCard,TripleTriadCard,TripleTriadCard,TripleTriadCard,TripleTriadCard,TripleTriadCard,TripleTriadCard,TripleTriadCard,TripleTriadRule,TripleTriadRule,bit&01,uint16,byte,Quest,Quest,Quest,uint16,uint16,DefaultTalk,DefaultTalk,DefaultTalk,DefaultTalk,DefaultTalk,bit&02,Item,Item,Item,Item
2293760,"0","0","0","0","0","0","0","0","0","0","","",False,0,1,,,,0,0,,,,,,False,"","","",""
2293761,"0","0","0","0","0","0","0","0","0","0","","",False,0,1,,,,0,0,,,,,,False,"","","",""
2293762,"メメルン","アマルジャ","ドードー","0","0","セイレーン","トンベリ","マンドラゴラ","グゥーブー","0","オールオープン","",False,10,1,,,,0,0,"DefaultTalk#592042","DefaultTalk#592043","DefaultTalk#592044","DefaultTalk#592045","DefaultTalk#592046",True,"カード:メメルン","カード:アマルジャ","カード:トンベリ","カード:光鱗のモラージャジャ"
2293763,"デモンズウォール","サボテンダー","スプリガン","0","0","ブルードラゴン","アーリマン","イクサル","モーグリ","0","オールオープン","セイム",True,10,1,,,,0,0,"DefaultTalk#592047","DefaultTalk#592048","DefaultTalk#592049","DefaultTalk#592050","DefaultTalk#592051",False,"カード:イクサル","カード:モーグリ","",""
2293764,"ミュタミクス","マンドラゴラ","クァール","0","0","サキュバス","悪い子シルフ","コブラン","0","0","オールオープン","",False,10,1,,,,0,0,"DefaultTalk#592052","DefaultTalk#592053","DefaultTalk#592054","DefaultTalk#592055","DefaultTalk#592056",False,"カード:悪い子シルフ","カード:コブラン","",""
2293765,"ブルードラゴン","モルボル","チョコボ","0","0","キマイラ","イクサル","プリン","ボム","0","オールオープン","",False,10,1,,,,0,0,"DefaultTalk#592057","DefaultTalk#592058","DefaultTalk#592059","DefaultTalk#592060","DefaultTalk#592061",False,"カード:モルボル","カード:プリン","",""
2293766,"ベヒーモス","ブルードラゴン","ボム","0","0","美男のブガージャ","チョコボ","アーリマン","コブラン","0","スリーオープン","プラス",True,15,1,,,,0,0,"DefaultTalk#592062","DefaultTalk#592063","DefaultTalk#592064","DefaultTalk#592065","DefaultTalk#592066",False,"カード:美男のブガージャ","カード:チョコボ","",""
2293767,"ミューヌ","十指のバデロン","イクサル","0","0","フリクシオ","モモディ・モディ","アーリマン","グゥーブー","プリン","スリーオープン","",False,15,1,"キャンプ・ドライボーンへ",,,0,0,"DefaultTalk#592067","DefaultTalk#592068","DefaultTalk#592069","DefaultTalk#592070","DefaultTalk#592071",False,"カード:ミューヌ","カード:グゥーブー","",""
