key,0,1,2,3,4,5,6
#,Addon,RankBRequirement,RankARequirement,RankAARequirement,RankAAARequirement,,
int32,Addon,uint16,uint16,uint16,uint16,uint16,byte
0,"Coastlines",346,744,820,1028,1090,0
1,"Deep Sea",566,1377,2805,5300,5906,0
2,"Rivers",299,523,1169,1801,3071,0
3,"Lakes",330,633,2244,2585,4725,0
4,"Sands",440,779,1099,2169,2289,0
5,"Skies",472,1047,1197,2618,65535,0
6,"Floating Islands",472,1047,1606,4251,65535,0
7,"Magma",881,1417,1515,2154,65535,0
8,"Aetherochemical Spills",325,691,885,979,65535,0
9,"Salt Lakes",645,813,1300,1767,65535,0
10,"Small Gig Head",20,50,61,65535,65535,1
11,"Normal Gig Head",270,329,386,65535,65535,1
12,"Large Gig Head",900,950,1000,65535,65535,1
13,"Small Gig Head",25,45,70,65535,65535,1
14,"Normal Gig Head",236,265,318,65535,65535,1
15,"Large Gig Head",780,879,1018,65535,65535,1
16,"Small Gig Head",28,40,52,65535,65535,1
17,"Normal Gig Head",320,373,384,65535,65535,1
18,"Large Gig Head",900,920,928,65535,65535,1
19,"Small Gig Head",44,55,67,65535,65535,1
20,"Normal Gig Head",345,400,410,65535,65535,1
21,"Large Gig Head",878,915,930,65535,65535,1
22,"Small Gig Head",44,55,67,75,65535,1
23,"Normal Gig Head",345,390,410,437,65535,1
24,"Large Gig Head",890,915,985,1028,65535,1
25,"",65535,65535,65535,65535,65535,0
26,"",65535,65535,65535,65535,65535,0
