key,0,1,2,3,4,5
#,Name,Icon,Icon{DutyFinder},,,
int32,str,Image,Image,byte,byte,byte
0,"",,,0,0,0
1,"Duty Roulette","ui/icon/061000/061807.tex",,0,0,0
2,"Dungeons","ui/icon/061000/061801.tex","ui/icon/060000/060831.tex",1,1,205
3,"Guildhests","ui/icon/061000/061803.tex","ui/icon/060000/060833.tex",2,2,210
4,"Trials","ui/icon/061000/061804.tex","ui/icon/060000/060834.tex",1,3,207
5,"Raids","ui/icon/061000/061802.tex","ui/icon/060000/060832.tex",1,4,206
6,"PvP","ui/icon/061000/061806.tex","ui/icon/060000/060836.tex",1,5,0
7,"Quest Battles","ui/icon/061000/061805.tex","ui/icon/060000/060835.tex",0,0,0
8,"FATEs","ui/icon/061000/061809.tex",,0,0,0
9,"Treasure Hunt","ui/icon/061000/061808.tex","ui/icon/060000/060838.tex",0,0,0
10,"Levequests","ui/icon/061000/061811.tex",,0,0,0
11,"Grand Company","ui/icon/061000/061812.tex",,0,0,0
12,"Companions","ui/icon/061000/061813.tex",,0,0,0
13,"Beast Tribe Quests","ui/icon/061000/061814.tex",,0,0,0
14,"Overall Completion","ui/icon/061000/061810.tex",,0,0,0
15,"Player Commendation","ui/icon/061000/061817.tex",,0,0,0
16,"Disciples of the Land","ui/icon/061000/061815.tex","ui/icon/060000/060859.tex",0,0,0
17,"Disciples of the Hand","ui/icon/061000/061816.tex",,0,0,0
18,"Retainer Ventures","ui/icon/061000/061818.tex",,0,0,0
19,"Gold Saucer","ui/icon/061000/061820.tex","ui/icon/060000/060848.tex",1,0,0
20,"","ui/icon/061000/061823.tex","ui/icon/060000/060846.tex",0,0,0
21,"Deep Dungeons","ui/icon/061000/061824.tex","ui/icon/060000/060847.tex",0,0,208
22,"","ui/icon/061000/061801.tex","ui/icon/060000/060831.tex",0,0,0
23,"","ui/icon/061000/061821.tex","ui/icon/061000/061821.tex",2,0,0
24,"Wondrous Tails","ui/icon/061000/061825.tex",,0,0,0
25,"Custom Deliveries","ui/icon/061000/061827.tex",,0,0,0
26,"Eureka","ui/icon/061000/061833.tex","ui/icon/060000/060851.tex",0,0,209
27,"","ui/icon/061000/061836.tex","ui/icon/060000/060853.tex",0,0,0
28,"Ultimate Raids","ui/icon/061000/061832.tex","ui/icon/060000/060855.tex",1,6,206
29,"",,,0,0,0
