key,0,1,2,3,4,5
#,Name,Icon,Icon{DutyFinder},,,
int32,str,Image,Image,byte,byte,byte
0,"",,,0,0,0
1,"コンテンツルーレット","ui/icon/061000/061807.tex",,0,0,0
2,"ダンジョン","ui/icon/061000/061801.tex","ui/icon/060000/060831.tex",1,1,231
3,"ギルドオーダー","ui/icon/061000/061803.tex","ui/icon/060000/060833.tex",2,2,237
4,"討伐・討滅戦","ui/icon/061000/061804.tex","ui/icon/060000/060834.tex",1,3,233
5,"レイド","ui/icon/061000/061802.tex","ui/icon/060000/060832.tex",1,4,232
6,"PvP","ui/icon/061000/061806.tex","ui/icon/060000/060836.tex",1,5,0
7,"クエストバトル","ui/icon/061000/061805.tex","ui/icon/060000/060835.tex",0,0,0
8,"F.A.T.E.","ui/icon/061000/061809.tex",,0,0,0
9,"トレジャーハント","ui/icon/061000/061808.tex","ui/icon/060000/060838.tex",0,0,0
10,"リーヴ","ui/icon/061000/061811.tex",,0,0,0
11,"グランドカンパニー","ui/icon/061000/061812.tex",,0,0,0
12,"バディ","ui/icon/061000/061813.tex",,0,0,0
13,"蛮族クエスト","ui/icon/061000/061814.tex",,0,0,0
14,"達成数ボーナス","ui/icon/061000/061810.tex",,0,0,0
15,"MIP","ui/icon/061000/061817.tex",,0,0,0
16,"ギャザラー","ui/icon/061000/061815.tex","ui/icon/060000/060859.tex",0,0,0
17,"クラフター","ui/icon/061000/061816.tex",,0,0,0
18,"リテイナー","ui/icon/061000/061818.tex",,0,0,0
19,"ゴールドソーサー","ui/icon/061000/061820.tex","ui/icon/060000/060848.tex",1,0,0
20,"","ui/icon/061000/061823.tex","ui/icon/060000/060846.tex",0,0,0
21,"ディープダンジョン","ui/icon/061000/061824.tex","ui/icon/060000/060847.tex",0,0,234
22,"","ui/icon/061000/061801.tex","ui/icon/060000/060831.tex",0,0,0
23,"","ui/icon/061000/061821.tex","ui/icon/061000/061821.tex",2,0,0
24,"空想帳","ui/icon/061000/061825.tex",,0,0,0
25,"お得意様取引","ui/icon/061000/061827.tex",,0,0,0
26,"エウレカ","ui/icon/061000/061833.tex","ui/icon/060000/060851.tex",0,0,235
27,"","ui/icon/061000/061836.tex","ui/icon/060000/060853.tex",0,0,0
28,"絶レイド","ui/icon/061000/061832.tex","ui/icon/060000/060855.tex",1,6,232
29,"","ui/icon/061000/061838.tex","ui/icon/061000/061838.tex",0,0,236
