key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
#,Key,TimeLimit,Name,TextData{Start},TextData{End},,,,,,,,,,,,,,,,,,,,,,,,,,,,,ContentFinderCondition,Image,
int32,byte,uint16,bit&01,PartyContentTextData,PartyContentTextData,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint16,ContentFinderCondition,Image,byte
0,0,0,False,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,0
1,1,30,False,"<Gui(75)/> 交感した乱風脈の泉","乱風脈の泉",6102061,6102062,6102063,6102064,6102065,6102066,6102067,6102068,6102069,6111939,6111942,6111945,6111948,6111954,6111961,6111965,6111991,6111995,6111941,6111944,6111947,6111950,6111956,6111963,6111967,6111993,6111997,1,"雲海探索 ディアデム諸島 (Easy)","ui/icon/112000/112119.tex",1
2,1,45,False,"<Gui(75)/> 交感した乱風脈の泉","乱風脈の泉",6102061,6102062,6102063,6102064,6102065,6102066,6102067,6102068,6102069,6111939,6111942,6111945,6111948,6111954,6111961,6111965,6111991,6111995,6111941,6111944,6111947,6111950,6111956,6111963,6111967,6111993,6111997,2,"雲海探索 ディアデム諸島","ui/icon/112000/112120.tex",2
3,1,60,False,"<Gui(75)/> 交感した乱風脈の泉","乱風脈の泉",6102061,6102062,6102063,6102064,6102065,6102066,6102067,6102068,6102069,6111939,6111942,6111945,6111948,6111954,6111961,6111965,6111991,6111995,6111941,6111944,6111947,6111950,6111956,6111963,6111967,6111993,6111997,3,"雲海探索 ディアデム諸島 (Hard)","ui/icon/112000/112121.tex",3
4,1,30,False,"<Gui(75)/> 交感した乱風脈の泉","乱風脈の泉",6102061,6102062,6102063,6102064,6102065,6102066,6102067,6102068,6102069,6111939,6111942,6111945,6111948,6111954,6111961,6111965,6111991,6111995,6111941,6111944,6111947,6111950,6111956,6111963,6111967,6111993,6111997,1,"雲海探索 ディアデム諸島：狩猟限定 (Easy)","ui/icon/112000/112119.tex",4
5,1,45,False,"<Gui(75)/> 交感した乱風脈の泉","乱風脈の泉",6102061,6102062,6102063,6102064,6102065,6102066,6102067,6102068,6102069,6111939,6111942,6111945,6111948,6111954,6111961,6111965,6111991,6111995,6111941,6111944,6111947,6111950,6111956,6111963,6111967,6111993,6111997,2,"雲海探索 ディアデム諸島：狩猟限定","ui/icon/112000/112120.tex",5
6,0,60,False,"探索任務進行度","弱化の試薬を投与した状態で
対象を討伐せよ",6600222,6600223,6600224,6600225,6600226,6600227,6600228,6600229,6600230,6600231,6600234,6600237,6600240,6600243,6600246,6600249,6600252,6600255,6600233,6600236,6600239,6600242,6600245,6600248,6600251,6600254,6600257,1,"雲海探索 ディアデム諸島 (狩猟)","ui/icon/112000/112221.tex",0
7,0,60,False,"探索任務進行度","弱化の試薬を投与した状態で
対象を討伐せよ",6600222,6600223,6600224,6600225,6600226,6600227,6600228,6600229,6600230,6600231,6600234,6600237,6600240,6600243,6600246,6600249,6600252,6600255,6600233,6600236,6600239,6600242,6600245,6600248,6600251,6600254,6600257,2,"雲海探索 ディアデム諸島 (採集)","ui/icon/112000/112222.tex",0
