key,0,1,2,3,4,5,6,7
#,Item,,SecondaryStatTotal,Parameter[0],Parameter[1],Parameter[2],Parameter[3],Parameter[4]
int32,Item,byte,byte,AnimaWeapon5Param,AnimaWeapon5Param,AnimaWeapon5Param,AnimaWeapon5Param,AnimaWeapon5Param
0,"",0,0,"","","","",""
1,"Hyperconductive Almace",1,172,"Tenacity","Direct Hit Rate","Critical Hit","Determination","Skill Speed"
2,"Hyperconductive Verethragna",2,240,"Tenacity","Direct Hit Rate","Critical Hit","Determination","Skill Speed"
3,"Hyperconductive Ukonvasara",3,240,"Tenacity","Direct Hit Rate","Critical Hit","Determination","Skill Speed"
4,"Hyperconductive Rhongomiant",4,240,"Tenacity","Direct Hit Rate","Critical Hit","Determination","Skill Speed"
5,"Hyperconductive Gandiva",5,240,"Tenacity","Direct Hit Rate","Critical Hit","Determination","Skill Speed"
6,"Hyperconductive Majestas",6,240,"Piety","Direct Hit Rate","Critical Hit","Determination","Spell Speed"
7,"Hyperconductive Hvergelmir",7,240,"Piety","Direct Hit Rate","Critical Hit","Determination","Spell Speed"
8,"Hyperconductive Draconomicon",8,240,"Piety","Direct Hit Rate","Critical Hit","Determination","Spell Speed"
9,"Hyperconductive Tetrabiblos",9,240,"Piety","Direct Hit Rate","Critical Hit","Determination","Spell Speed"
10,"Hyperconductive Kannagi",10,240,"Tenacity","Direct Hit Rate","Critical Hit","Determination","Skill Speed"
11,"Hyperconductive Armageddon",11,240,"Tenacity","Direct Hit Rate","Critical Hit","Determination","Skill Speed"
12,"Hyperconductive Nothung",12,240,"Tenacity","Direct Hit Rate","Critical Hit","Determination","Skill Speed"
13,"Hyperconductive Deneb",13,240,"Piety","Direct Hit Rate","Critical Hit","Determination","Spell Speed"
14,"Hyperconductive Ancile",14,68,"Tenacity","Direct Hit Rate","Critical Hit","Determination","Skill Speed"
