key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
#,,sgb[0],,,sgb[1],,sgb[2],,sgb[3],,sgb[4],,,,,,,,,Material[0],Material[1],Material[2],Material[3],Material[4],Amount[0],Amount[1],Amount[2],Amount[3],Amount[4],Name,,Icon
int32,byte,ExportedSG,byte,byte,ExportedSG,byte,ExportedSG,byte,ExportedSG,byte,ExportedSG,byte,byte,byte,byte,byte,byte,byte,byte,MJIItemPouch,MJIItemPouch,MJIItemPouch,MJIItemPouch,MJIItemPouch,byte,byte,byte,byte,byte,MJIText,uint32,Image
0.0,1,"bgcommon/mji/buil/00/0001/asset/hom_t4_m0001.sgb",24,0,"bgcommon/mji/buil/00/0001/asset/hom_t1_m0001.sgb",0,,0,,0,,0,0,0,0,0,0,0,255,"无人岛棕榈原木","无人岛棕榈叶","无人岛藤蔓","无人岛石材","无人岛砂砾",10,10,5,5,5,"小岛木屋 I",47,"ui/icon/053000/053919.tex"
0.1,4,"bgcommon/mji/buil/00/0002/asset/hom_t4_m0002.sgb",25,0,,0,,0,,0,,0,0,0,0,0,0,0,255,"无人岛棕榈原木","无人岛藤蔓","无人岛石灰岩","无人岛棕榈叶","无人岛铜矿",15,10,10,5,5,"小岛木屋 II",48,"ui/icon/053000/053920.tex"
0.2,7,"bgcommon/mji/buil/00/0003/asset/hom_t4_m0003.sgb",26,0,,0,,0,,0,,0,0,0,0,0,0,0,255,"无人岛原木","无人岛石灰岩","无人岛棉花","无人岛麻","无人岛黏土",15,10,10,10,5,"小岛木屋 III",49,"ui/icon/053000/053921.tex"
1.0,1,"bgcommon/mji/buil/01/0001/asset/bil_t4_m0001.sgb",6,72,"bgcommon/mji/buil/01/0001/asset/bil_t1_m0001.sgb",2,"bgcommon/mji/buil/01/0001/asset/bil_t2_m0001.sgb",3,"bgcommon/mji/buil/01/0001/asset/bil_t3_m0001.sgb",4,"bgcommon/mji/buil/01/0001/asset/bil_t4_m0001.sgb",5,3,2,1,0,3,2,6,"无人岛原木","无人岛棕榈叶","无人岛石灰岩","无人岛藤蔓","无人岛砂砾",10,10,10,5,5,"开拓工房 I",50,"ui/icon/053000/053916.tex"
1.1,6,"bgcommon/mji/buil/01/0003/asset/bil_t4_m0003.sgb",9,73,"bgcommon/mji/buil/01/0003/asset/bil_t3_m0003.sgb",0,"bgcommon/mji/buil/01/0003/asset/bil_t3_m0003.sgb",0,"bgcommon/mji/buil/01/0003/asset/bil_t3_m0003.sgb",7,"bgcommon/mji/buil/01/0003/asset/bil_t4_m0003.sgb",8,255,255,7,0,7,2,8,"无人岛原木","无人岛石灰岩","无人岛麻","无人岛黏土","无人岛铜矿",15,15,10,5,5,"开拓工房 II",51,"ui/icon/053000/053917.tex"
1.2,8,"bgcommon/mji/buil/01/0005/asset/bil_t4_m0005.sgb",12,74,"bgcommon/mji/buil/01/0005/asset/bil_t3_m0005.sgb",0,"bgcommon/mji/buil/01/0005/asset/bil_t3_m0005.sgb",0,"bgcommon/mji/buil/01/0005/asset/bil_t3_m0005.sgb",10,"bgcommon/mji/buil/01/0005/asset/bil_t4_m0005.sgb",11,255,255,12,0,12,2,13,"无人岛铁矿","无人岛花岗岩","无人岛原木","无人岛麻","无人岛石榴石原石",15,15,10,10,3,"开拓工房 III",52,"ui/icon/053000/053918.tex"
2.0,5,"bgcommon/mji/buil/01/0002/asset/bil_t4_m0002.sgb",17,0,"bgcommon/mji/buil/01/0002/asset/bil_t1_m0002.sgb",13,"bgcommon/mji/buil/01/0002/asset/bil_t2_m0002.sgb",14,"bgcommon/mji/buil/01/0002/asset/bil_t3_m0002.sgb",15,"bgcommon/mji/buil/01/0002/asset/bil_t4_m0002.sgb",16,3,2,1,0,3,2,6,"无人岛棕榈原木","无人岛原木","无人岛黏土","无人岛铜矿","无人岛藤蔓",10,10,10,10,5,"屯货仓库 I",53,"ui/icon/053000/053922.tex"
2.1,6,"bgcommon/mji/buil/01/0004/asset/bil_t4_m0004.sgb",20,0,"bgcommon/mji/buil/01/0004/asset/bil_t3_m0004.sgb",0,"bgcommon/mji/buil/01/0004/asset/bil_t3_m0004.sgb",0,"bgcommon/mji/buil/01/0004/asset/bil_t3_m0004.sgb",18,"bgcommon/mji/buil/01/0004/asset/bil_t4_m0004.sgb",19,255,255,7,0,7,2,8,"无人岛棕榈原木","无人岛原木","无人岛麻","无人岛黏土","无人岛锡砂",15,15,10,5,5,"屯货仓库 II",54,"ui/icon/053000/053923.tex"
2.2,8,"bgcommon/mji/buil/01/0006/asset/bil_t4_m0006.sgb",23,0,"bgcommon/mji/buil/01/0006/asset/bil_t3_m0006.sgb",0,"bgcommon/mji/buil/01/0006/asset/bil_t3_m0006.sgb",0,"bgcommon/mji/buil/01/0006/asset/bil_t3_m0006.sgb",21,"bgcommon/mji/buil/01/0006/asset/bil_t4_m0006.sgb",22,255,255,12,0,12,2,14,"无人岛原木","无人岛铁矿","无人岛花岗岩","无人岛黏土","无人岛云杉原木",15,15,10,10,3,"屯货仓库 III",55,"ui/icon/053000/053924.tex"
