key,0,1,2,3,4
#,Name,SeparateType,DataType,JournalSection,
int32,str,byte,byte,JournalSection,byte
0,"無効カテゴリ",0,0,,0
1,"メインクエスト：新生エオルゼア",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
2,"メインクエスト：第七星暦ストーリー",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
3,"メインクエスト：蒼天のイシュガルド",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
4,"メインクエスト：竜詩戦争 完結編",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
5,"メインクエスト：竜詩戦争 戦後編",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
6,"メインクエスト：紅蓮のリベレーター",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
7,"メインクエスト：解放戦争 戦後編",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
8,"メインクエスト：漆黒のヴィランズ",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
9,"メインクエスト：暁の帰還編",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
10,"メインクエスト：終末の序曲編",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
11,"メインクエスト：暁月のフィナーレ",1,1,"メインクエスト2（暁月のフィナーレ）",0
12,"クロニクルクエスト：蛮神の脅威",1,1,"クロニクルクエスト",0
13,"クロニクルクエスト：バハムート",1,1,"クロニクルクエスト",0
14,"クロニクルクエスト：クリスタルタワー",1,1,"クロニクルクエスト",0
15,"クロニクルクエスト：アレキサンダー",1,1,"クロニクルクエスト",0
16,"クロニクルクエスト：古の神々",1,1,"クロニクルクエスト",0
17,"クロニクルクエスト：シャドウ・オブ・マハ",1,1,"クロニクルクエスト",0
18,"クロニクルクエスト：オメガ",1,1,"クロニクルクエスト",0
19,"クロニクルクエスト：リターン・トゥ・イヴァリース",1,1,"クロニクルクエスト",0
20,"クロニクルクエスト：四聖獣奇譚",1,1,"クロニクルクエスト",0
21,"クロニクルクエスト：エデン",1,1,"クロニクルクエスト",0
22,"YoRHa: Dark Apocalypse",1,1,"クロニクルクエスト",0
23,"クロニクルクエスト：ウェルリト戦役",1,1,"クロニクルクエスト",0
24,"クロニクルクエスト：パンデモニウム",1,1,"クロニクルクエスト",0
25,"蛮族クエスト：ドワーフ族",2,1,"蛮族クエスト2（漆黒のヴィランズ）",0
26,"蛮族クエスト：キタリ族",2,1,"蛮族クエスト2（漆黒のヴィランズ）",0
27,"蛮族クエスト：ピクシー族",2,1,"蛮族クエスト2（漆黒のヴィランズ）",0
28,"蛮族クエスト：アマルジャ族",2,1,"蛮族クエスト1（新生・蒼天・紅蓮）",0
