key,0,1,2,3,4
#,Name,SeparateType,DataType,JournalSection,
int32,str,byte,byte,JournalSection,byte
0,"無効カテゴリ",0,0,,0
1,"メインクエスト：新生エオルゼア",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
2,"メインクエスト：第七星暦ストーリー",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
3,"メインクエスト：蒼天のイシュガルド",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
4,"メインクエスト：竜詩戦争 完結編",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
5,"メインクエスト：竜詩戦争 戦後編",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
6,"メインクエスト：紅蓮のリベレーター",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
7,"メインクエスト：解放戦争 戦後編",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
8,"メインクエスト：漆黒のヴィランズ",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
9,"メインクエスト：暁の帰還編",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
10,"メインクエスト：終末の序曲編",1,1,"メインクエスト1（新生・蒼天・紅蓮・漆黒）",0
11,"メインクエスト：暁月のフィナーレ",1,1,"メインクエスト2（暁月のフィナーレ）",0
12,"メインクエスト：新たなる冒険編",1,1,"メインクエスト2（暁月のフィナーレ）",0
13,"クロニクルクエスト：蛮神の脅威",1,1,"クロニクルクエスト",0
14,"クロニクルクエスト：バハムート",1,1,"クロニクルクエスト",0
15,"クロニクルクエスト：クリスタルタワー",1,1,"クロニクルクエスト",0
16,"クロニクルクエスト：アレキサンダー",1,1,"クロニクルクエスト",0
17,"クロニクルクエスト：古の神々",1,1,"クロニクルクエスト",0
18,"クロニクルクエスト：シャドウ・オブ・マハ",1,1,"クロニクルクエスト",0
19,"クロニクルクエスト：オメガ",2,1,"クロニクルクエスト",0
20,"クロニクルクエスト：リターン・トゥ・イヴァリース",1,1,"クロニクルクエスト",0
21,"クロニクルクエスト：四聖獣奇譚",1,1,"クロニクルクエスト",0
22,"クロニクルクエスト：エデン",1,1,"クロニクルクエスト",0
23,"YoRHa: Dark Apocalypse",1,1,"クロニクルクエスト",0
24,"クロニクルクエスト：ウェルリト戦役",1,1,"クロニクルクエスト",0
25,"クロニクルクエスト：パンデモニウム",1,1,"クロニクルクエスト",0
26,"クロニクルクエスト：ミソロジー・オブ・エオルゼア",1,1,"クロニクルクエスト",0
27,"友好部族クエスト：レポリット族",2,1,"友好部族クエスト2（暁月のフィナーレ）",0
28,"友好部族クエスト：オミクロン族",2,1,"友好部族クエスト2（暁月のフィナーレ）",0
