key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#,Weather[0],Weather[1],Weather[2],Weather[3],Weather[4],,,,,,Quest[0],Quest[1],Quest[2],Quest[3],Quest[4],,,,,,,,,,,,,
int32,Weather,Weather,Weather,Weather,Weather,byte,byte,byte,byte,byte,Quest,Quest,Quest,Quest,Quest,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
0,"","","","","",0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"無尽光","","無尽光","","流星雨",0,0,1,3,2,,,,,,68836,69179,69190,69313,69314,0,0,5,0,11,3,3,0
2,"無尽光","","流星雨","","",0,0,1,3,3,,,,,,69190,69313,69314,0,0,0,0,11,3,3,0,0,0
3,"無尽光","","無尽光","","流星雨",0,0,1,3,2,,,,,,69157,69179,69190,69313,69314,0,0,3,0,11,3,3,0
4,"無尽光","無尽光","","無尽光","",137,0,1,3,3,,,,,,68846,68856,69179,69190,69313,69314,0,4,3,0,11,3,3
5,"無尽光","","無尽光","","流星雨",0,0,1,3,2,,,,,,68876,69179,69190,69313,69314,0,0,3,0,11,3,3,0
6,"無尽光","","流星雨","","",0,0,1,3,3,,,,,,69190,69313,69314,0,0,0,0,11,3,3,0,0,0
7,"","雨","","","",0,0,3,2,2,,,,,,69325,69327,0,0,0,0,0,0,0,0,0,0,0
8,"","","","","",0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
