key,0,1,2,3,4
#,Name,FATE,Icon,TerritoryType,PlaceName
int32,BNpcName,Fate,Image,Map,PlaceName
0,"","",,"",""
1,"giant logger","","ui/icon/084000/084001.tex","r1f1/00","Boulder Downs"
2,"5th Cohort hoplomachus","","ui/icon/084000/084002.tex","l1f1/01","Fogfens"
3,"Sapsa shelfspine","","ui/icon/084000/084008.tex","s1f4/00","Sapsa Spawning Grounds"
4,"Daddy Longlegs","He's Got Legs","ui/icon/084000/084201.tex","w1f1/00","The Footfalls"
5,"Matagaigai","Bleeding Green","ui/icon/084000/084202.tex","f1f1/00","Bentbranch"
6,"crater golem","","ui/icon/084000/084004.tex","f1f1/00","The Standing Corses"
7,"snow wolf","","ui/icon/084000/084005.tex","r1f1/00","Boulder Downs"
8,"Amalj'aa divinator","","ui/icon/084000/084006.tex","w1f4/01","Sagolii Desert"
9,"Dschubba","Dschubba Snacks","ui/icon/084000/084203.tex","f1f4/00","Treespeak"
10,"Volxia of the Blade","Bush Blade","ui/icon/084000/084204.tex","f1f2/00","Sylphlands"
11,"shelfscale Sahagin","","ui/icon/084000/084007.tex","s1f4/00","Halfstone"
12,"Ixali wildtalon","","ui/icon/084000/084003.tex","r1f1/00","Dragonhead"
13,"Amalj'aa halberdier","","ui/icon/084000/084018.tex","w1f4/01","Sagolii Desert"
14,"Bagoly","The Big Bagoly Theory","ui/icon/084000/084205.tex","w1f3/00","The Burning Wall"
15,"nest commander","Leaving the Nest","ui/icon/084000/084206.tex","w1f2/00","Black Brush"
16,"Zahar'ak archer","","ui/icon/084000/084010.tex","w1f4/01","Zahar'ak"
17,"Bloodshore bell","","ui/icon/084000/084011.tex","s1f3/01","Bloodshore"
18,"sylpheed screech","","ui/icon/084000/084014.tex","f1f2/00","Sylphlands"
19,"proto armor","A Wrench in the Works","ui/icon/084000/084207.tex","f1f2/00","Larkscall"
20,"doomed gigantoad","Doomed","ui/icon/084000/084208.tex","w1f1/00","Hammerlea"
21,"milkroot sapling","","ui/icon/084000/084013.tex","f1f2/00","Sylphlands"
22,"goobbue","","ui/icon/084000/084012.tex","s1f3/01","Raincatcher Gully"
23,"lake cobra","","ui/icon/084000/084015.tex","l1f1/01","North Silvertear"
24,"Voll the Sharkskinned","Sharknado","ui/icon/084000/084209.tex","s1f4/00","Halfstone"
25,"Sutali Hueloc of the North Wind","","ui/icon/084000/084210.tex","r1f1/00","Natalan"
26,"feral croc","","ui/icon/084000/084016.tex","r1f1/00","Dragonhead"
27,"dryad","","ui/icon/084000/084017.tex","f1f4/00","Proud Creek"
28,"Qiqirn gullroaster","","ui/icon/084000/084009.tex","s1f3/01","Bloodshore"
29,"Cuachac","I Melt with You","ui/icon/084000/084211.tex","s1f2/00","Moraby Bay"
30,"Kozol Nomotl the Turbulent","The Storm Caller","ui/icon/084000/084212.tex","r1f1/00","Natalan"
31,"coeurl","","ui/icon/084000/084019.tex","s1f6/00","The Long Climb"
32,"dead man's moan","","ui/icon/084000/084020.tex","s1f4/00","The Isles of Umbra"
33,"ked","","ui/icon/084000/084021.tex","f1f3/00","Urth's Gift"
34,"Sethuli Hueloc of the West Wind","","ui/icon/084000/084213.tex","r1f1/00","Natalan"
35,"Prince of Pestilence","Royal Rumble","ui/icon/084000/084214.tex","f1f2/00","Nine Ivies"
36,"large buffalo","","ui/icon/084000/084022.tex","s1f3/01","Bloodshore"
37,"vodoriga","","ui/icon/084000/084023.tex","r1f1/00","Providence Point"
38,"dreamtoad","","ui/icon/084000/084033.tex","f1f2/00","Sylphlands"
39,"Vodyanoi","Cold-blooded","ui/icon/084000/084215.tex","w1f2/00","The Clutch"
40,"5th Order Patriarch Ze Bu","Stopping the Shakes","ui/icon/084000/084216.tex","s1f6/00","Iron Lake"
41,"golden fleece","","ui/icon/084000/084025.tex","w1f3/00","The Burning Wall"
42,"U'Ghamaro priest","","ui/icon/084000/084034.tex","s1f6/00","U'Ghamaro Mines"
43,"molted ziz","","ui/icon/084000/084027.tex","f1f2/00","Larkscall"
44,"mandragora prince","One Prince","ui/icon/084000/084217.tex","s1f2/00","The Gods' Grip"
45,"Gluttonous Gertrude","Tender Buttons","ui/icon/084000/084218.tex","s1f4/00","Quarterstone"
46,"2nd Cohort laquearius","","ui/icon/084000/084028.tex","s1f3/01","Agelyss Wise"
47,"stroper","","ui/icon/084000/084029.tex","f1f1/00","Sorrel Haven"
48,"iron tortoise","","ui/icon/084000/084030.tex","w1f4/01","Zanr'ak"
49,"59th Order Bedesman Bi Go","Full Metal Alchemist","ui/icon/084000/084219.tex","s1f6/00","U'Ghamaro Mines"
50,"Gozol Itzcan the Hatchet","Inspector Hatchet","ui/icon/084000/084220.tex","r1f1/00","Natalan"
51,"3rd Cohort laquearius","","ui/icon/084000/084031.tex","f1f2/00","Larkscall"
52,"fallen wizard","","ui/icon/084000/084032.tex","w1f4/01","Sagolii Desert"
53,"ornery karakul","","ui/icon/084000/084024.tex","r1f1/00","Dragonhead"
54,"Oannes","Truth in Faerie Tales","ui/icon/084000/084221.tex","s1f5/00","Bronze Lake"
55,"Jaded Jody","My Baby Green","ui/icon/084000/084222.tex","f1f1/00","Sorrel Haven"
56,"lindwurm","","ui/icon/084000/084026.tex","f1f1/00","Sorrel Haven"
57,"shelfclaw Sahagin","","ui/icon/084000/084035.tex","s1f4/00","Halfstone"
58,"Natalan swiftbeak","","ui/icon/084000/084039.tex","r1f1/00","Natalan"
59,"426th Order Pickman Bu Ga","One Pickman Enters","ui/icon/084000/084223.tex","s1f2/00","Cedarwood"
60,"Lutin","A Freeze Is Coming","ui/icon/084000/084224.tex","r1f1/00","Whitebrim"
61,"downy aevis","","ui/icon/084000/084037.tex","r1f1/00","Providence Point"
62,"Amalj'aa archer","","ui/icon/084000/084038.tex","w1f4/01","Zanr'ak"
63,"grenade","","ui/icon/084000/084036.tex","s1f6/00","Iron Lake"
64,"Great Oak","Smells Like Tree Spirit","ui/icon/084000/084225.tex","f1f4/00","Proud Creek"
65,"Cindersoot Pegujj Chah","Return to Cinder","ui/icon/084000/084226.tex","w1f4/01","Zanr'ak"
66,"snowstorm goobbue","","ui/icon/084000/084040.tex","r1f1/00","Whitebrim"
67,"uragnite","","ui/icon/084000/084041.tex","s1f5/00","Bronze Lake"
68,"revenant","","ui/icon/084000/084042.tex","f1f1/00","Sorrel Haven"
69,"Number 128","I'm a Rock, Not a Number","ui/icon/084000/084227.tex","s1f6/00","The Long Climb"
70,"Aermswys the Stained","Watch Your Tongue","ui/icon/084000/084228.tex","s1f4/00","Halfstone"
71,"shelfeye Reaver","","ui/icon/084000/084043.tex","s1f4/00","Halfstone"
72,"4th Cohort vanguard","","ui/icon/084000/084044.tex","w1f1/00","Cape Westwind"
73,"Amalj'aa pugilist","","ui/icon/084000/084045.tex","w1f4/01","Zanr'ak"
74,"Bibireze Greysteel","Book of Pride","ui/icon/084000/084229.tex","w1f4/01","Zanr'ak"
75,"Yarr the Wavefiend","Making Waves","ui/icon/084000/084230.tex","s1f4/00","Sapsa Spawning Grounds"
76,"giant lugger","","ui/icon/084000/084046.tex","r1f1/00","Boulder Downs"
77,"salamander","","ui/icon/084000/084047.tex","s1f5/00","Bronze Lake"
78,"2nd Cohort vanguard","","ui/icon/084000/084048.tex","s1f3/01","Agelyss Wise"
79,"Kokoroon Quickfingers","Jewels of the Isle","ui/icon/084000/084231.tex","s1f3/01","Bloodshore"
80,"Whitespark Hepugg Roh","Spark off the Bench","ui/icon/084000/084232.tex","w1f4/01","Zahar'ak"
81,"Amalj'aa sniper","","ui/icon/084000/084049.tex","w1f4/01","Sagolii Desert"
82,"gigas bhikkhu","","ui/icon/084000/084050.tex","l1f1/01","North Silvertear"
83,"kobold quarryman","","ui/icon/084000/084051.tex","s1f6/00","Iron Lake"
84,"Scarface Bugaal Ja","Peeping Ja","ui/icon/084000/084233.tex","s1f5/00","Bronze Lake"
85,"Sirocco","The Hunted","ui/icon/084000/084234.tex","f1f3/00","Upper Paths"
86,"5th Cohort eques","","ui/icon/084000/084052.tex","l1f1/01","Fogfens"
87,"bigmouth orobon","","ui/icon/084000/084063.tex","f1f3/00","Lower Paths"
88,"Natalan windtalon","","ui/icon/084000/084081.tex","r1f1/00","Natalan"
89,"Padfoot","Under the Bridge","ui/icon/084000/084235.tex","s1f2/00","The Gods' Grip"
90,"Curupira","Micromanaging","ui/icon/084000/084236.tex","f1f4/00","Peacegarden"
91,"midland condor","","ui/icon/084000/084055.tex","f1f3/00","Lower Paths"
92,"mirrorknight","","ui/icon/084000/084056.tex","w1f3/00","The Burning Wall"
93,"sylvan screech","","ui/icon/084000/084057.tex","f1f2/00","Larkscall"
94,"Spiteful","In Spite of It All","ui/icon/084000/084237.tex","f1f1/00","The Standing Corses"
95,"Diamondjaw Nezedd Gah","Diamond in the Rough","ui/icon/084000/084238.tex","w1f4/01","Zanr'ak"
96,"adamantoise","","ui/icon/084000/084058.tex","f1f3/00","Lower Paths"
97,"daring harrier","","ui/icon/084000/084059.tex","l1f1/01","Fogfens"
98,"quartz doblyn","","ui/icon/084000/084060.tex","w1f3/00","The Burning Wall"
99,"Gwyllgi","Gone with the Shadow","ui/icon/084000/084239.tex","l1f1/01","North Silvertear"
100,"Jolly Green","Ho Ho Ho","ui/icon/084000/084240.tex","s1f3/01","Raincatcher Gully"
101,"basilisk","","ui/icon/084000/084061.tex","w1f5/00","Bluefog"
102,"treant","","ui/icon/084000/084062.tex","f1f3/00","Snakemolt"
103,"mudpuppy","","ui/icon/084000/084053.tex","l1f1/01","Fogfens"
104,"59th Order Pickman Be Ze","The Miner in the Mirror","ui/icon/084000/084241.tex","s1f6/00","Iron Lake"
105,"Lou Carcolh","There's Something about Lou","ui/icon/084000/084242.tex","f1f1/00","Bentbranch"
106,"sylvan sigh","","ui/icon/084000/084064.tex","f1f2/00","Larkscall"
107,"lammergeyer","","ui/icon/084000/084065.tex","s1f4/00","The Isles of Umbra"
108,"Ixali windtalon","","ui/icon/084000/084066.tex","f1f4/00","Proud Creek"
109,"Simurgh","Simurgh Is the Word","ui/icon/084000/084243.tex","s1f5/00","Oakwood"
110,"Alux","Alux of the Draw","ui/icon/084000/084244.tex","f1f1/00","Greentear"
111,"Sylphlands sentinel","","ui/icon/084000/084067.tex","f1f2/00","Sylphlands"
112,"plasmoid","","ui/icon/084000/084068.tex","s1f6/00","Iron Lake"
113,"ahriman","","ui/icon/084000/084069.tex","w1f5/00","Bluefog"
114,"Peryton","Peryton, Perhaps","ui/icon/084000/084245.tex","s1f6/00","The Long Climb"
115,"Sateli Hueloc of the South Wind","","ui/icon/084000/084246.tex","r1f1/00","Natalan"
116,"U'Ghamaro bedesman","","ui/icon/084000/084070.tex","s1f6/00","U'Ghamaro Mines"
117,"3rd Cohort hoplomachus","","ui/icon/084000/084071.tex","f1f2/00","Larkscall"
118,"Natalan boldwing","","ui/icon/084000/084090.tex","r1f1/00","Natalan"
119,"Chupacabra","The Truth Is out There","ui/icon/084000/084247.tex","s1f1/00","Three-malm Bend"
120,"bomb baron","The Red Baron","ui/icon/084000/084248.tex","w1f5/00","Bluefog"
121,"Sapsa shelftooth","","ui/icon/084000/084073.tex","s1f4/00","Sapsa Spawning Grounds"
122,"kobold sidesman","","ui/icon/084000/084074.tex","s1f5/00","Zelma's Run"
123,"tempered orator","","ui/icon/084000/084075.tex","w1f4/01","Zanr'ak"
124,"Roc","Roc of Ages","ui/icon/084000/084249.tex","r1f1/00","Whitebrim"
125,"Bubbly Bernie","Bubble Trouble","ui/icon/084000/084250.tex","w1f1/00","The Footfalls"
126,"Natalan fogcaller","","ui/icon/084000/084076.tex","r1f1/00","Natalan"
127,"Mamool Ja executioner","","ui/icon/084000/084077.tex","s1f5/00","Bronze Lake"
128,"kobold pitman","","ui/icon/084000/084078.tex","s1f3/01","Bloodshore"
129,"Phaia","What Gored Before","ui/icon/084000/084251.tex","f1f3/00","Urth's Gift"
130,"Porus","Another Notch on the Torch","ui/icon/084000/084252.tex","l1f1/01","North Silvertear"
131,"hippocerf","","ui/icon/084000/084079.tex","r1f1/00","Whitebrim"
132,"kobold missionary","","ui/icon/084000/084080.tex","s1f3/01","Bloodshore"
133,"gigantoad","","ui/icon/084000/084054.tex","s1f3/01","Raincatcher Gully"
134,"Spitfire","A Warm Welcome","ui/icon/084000/084253.tex","w1f2/00","Black Brush"
135,"59th Order Roundsman Ge Ga","Making the Rounds","ui/icon/084000/084254.tex","s1f6/00","U'Ghamaro Mines"
136,"Sylphlands condor","","ui/icon/084000/084082.tex","f1f2/00","Sylphlands"
137,"baritine croc","","ui/icon/084000/084083.tex","r1f1/00","Whitebrim"
138,"2nd Cohort signifer","","ui/icon/084000/084084.tex","s1f3/01","Agelyss Wise"
139,"Tryptix Stumblemox","Tryp Fantastic","ui/icon/084000/084255.tex","s1f4/00","Skull Valley"
140,"Menuis","Menuis at Work","ui/icon/084000/084256.tex","s1f1/00","Summerford"
141,"colibri","","ui/icon/084000/084085.tex","s1f3/01","Bloodshore"
142,"Zahar'ak battle drake","","ui/icon/084000/084105.tex","w1f4/01","Zahar'ak"
143,"sylvan snarl","","ui/icon/084000/084087.tex","f1f2/00","Larkscall"
144,"Rongeur","In the Saint's Wake","ui/icon/084000/084257.tex","r1f1/00","Boulder Downs"
145,"Cactuar Jack","The Villain","ui/icon/084000/084258.tex","w1f1/00","Hammerlea"
146,"dragonfly","","ui/icon/084000/084088.tex","r1f1/00","Whitebrim"
147,"kobold bedesman","","ui/icon/084000/084089.tex","s1f6/00","Iron Lake"
148,"3rd Cohort signifer","","ui/icon/084000/084072.tex","f1f2/00","Larkscall"
149,"stagnant water sprite","Something in the Water","ui/icon/084000/084259.tex","f1f1/00","Jadeite Thick"
150,"Klythios","The Bigger They Are","ui/icon/084000/084260.tex","r1f1/00","Boulder Downs"
151,"biast","","ui/icon/084000/084091.tex","r1f1/00","Boulder Downs"
152,"jungle coeurl","","ui/icon/084000/084092.tex","s1f3/01","Raincatcher Gully"
153,"spriggan","","ui/icon/084000/084093.tex","f1f1/00","The Standing Corses"
154,"Crier Briareos","There Might Be Giants","ui/icon/084000/084261.tex","w1f1/00","The Footfalls"
155,"alpha anole","Leader of the Pack","ui/icon/084000/084262.tex","f1f1/00","Greentear"
156,"synthetic doblyn","","ui/icon/084000/084094.tex","s1f6/00","U'Ghamaro Mines"
157,"sea wasp","","ui/icon/084000/084095.tex","s1f4/00","Halfstone"
158,"sylpheed snarl","","ui/icon/084000/084096.tex","f1f2/00","Sylphlands"
159,"Blackbile Maladd Chah","Blood, Augur, Hex, Magicks","ui/icon/084000/084263.tex","w1f4/01","Sagolii Desert"
160,"Arimaspi","With One Eye Open","ui/icon/084000/084264.tex","w1f5/00","Bluefog"
161,"dullahan","","ui/icon/084000/084097.tex","f1f4/00","Proud Creek"
