key,0,1
#,,Start
int32,byte,ActionTimeline
0,0,""
1,1,"event_base/event_base_knee_suffering"
2,1,"event_base/event_base_frightened"
3,1,"event_base/event_base_frightened2"
4,1,"idle_sp/idle_sp_1"
5,1,"idle_sp/idle_sp_2"
6,1,"idle_sp/idle_sp_3"
7,1,"idle_sp/idle_sp_4"
8,1,"idle_sp/idle_sp_1_high"
9,1,"idle_sp/idle_sp_2_high"
10,1,"idle_sp/idle_sp_3_high"
11,1,"battle/idle"
12,1,"idle_sp/normal_idle_sp_1"
13,1,"event_base/event_base_bind_ground_sit"
14,1,"event_base/event_base_eat"
15,1,"minion/loop"
16,1,"idle_sp/battle_dead_1"
17,1,"event_base/event_base_healing"
18,1,"event_base/event_base_idle1"
19,2,"loop_sp/loop_sp1"
20,2,"loop_sp/loop_sp2"
21,2,"parts_idle_sp/sp1"
22,2,"parts_idle_sp/sp2"
23,2,"parts_idle_sp/sp2_1"
24,2,"loop_sp/loop_sp3"
25,2,"pc_contentsaction/skydiving_loop"
26,1,"event_base/event_base_push_up_sit_stop"
27,2,"idle_sp/idle_sp_1"
28,2,"idle_sp/idle_sp_2"
29,2,"idle_sp/idle_sp_1_high"
30,2,"idle_sp/idle_sp_4"
31,1,"idle_sp/idle_sp_5"
32,1,"idle_sp/idle_sp_6"
33,1,"idle_sp/idle_sp_7"
34,2,"battle/magic_cnj_loop"
35,2,"event_base/event_base_link"
36,1,"change/stance01_idle"
37,1,"event_base/event_base_knee_seach"
38,2,"normal/run"
39,2,"emote/loop_emot19_loop"
40,2,"emote_sp/sp05_loop"
41,2,"normal/sprint"
42,2,"event_base/event_base_frightened2_high"
43,2,"event_base/event_base_sleep"
44,2,"ability/chk_rdc/abl012_loop"
45,2,"emote_sp/sp09_loop"
46,1,"event_base/event_base_weak_idle"
47,2,"battle/mon_sp_b_loop"
48,1,"event_base/event_base_think"
49,1,"event_base/event_base_guard_stand"
50,1,"event_base/event_base_idle2"
51,1,"event_base/event_base_bt_book_stand"
52,1,"event_base/event_base_bt_book_drop_stand"
53,1,"event_base/event_base_stand_suffering"
54,1,"normal/dead_pose"
55,2,"battle/magic_sum_loop"
56,2,"normal/aettouch_loop"
57,2,"idle_sp/idle_sp_3"
58,2,"pc_contentsaction/ether_loop"
59,2,"pc_contentsaction/gard_knockback_loop"
60,0,""
61,0,""
62,0,""
63,0,""
64,0,""
65,0,""
