key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,Item,Theme[0],Theme[1],,Material[0],Amount[0],Material[1],Amount[1],Material[2],Amount[2],Material[3],Amount[3],LevelReq,CraftingTime,Value
int32,Item,MJICraftworksObjectTheme,MJICraftworksObjectTheme,uint16,MJIItemPouch,uint16,MJIItemPouch,uint16,MJIItemPouch,uint16,MJIItemPouch,uint16,uint16,uint16,uint16
0,"","","",0,"無人島のパームリーフ",0,"無人島のパームリーフ",0,"無人島のパームリーフ",0,"無人島のパームリーフ",0,0,0,0
1,"アイルポーション","薬品","",0,"無人島のパームリーフ",2,"無人島の草葉",2,"無人島のパームリーフ",0,"無人島のパームリーフ",0,1,4,28
2,"開拓工房の火薬","薬品","窯業製品",0,"無人島の砂",2,"無人島の石灰岩",1,"無人島の草葉",1,"無人島のパームリーフ",0,1,4,28
3,"アイルウッドチェア","調度品","木工製品",0,"無人島の原木",4,"無人島のつる",2,"無人島のパームリーフ",0,"無人島のパームリーフ",0,1,6,42
4,"開拓工房の焼き貝","料理","海産製品",0,"無人島の二枚貝",2,"無人島の玉藻",2,"無人島のパームリーフ",0,"無人島のパームリーフ",0,1,4,28
5,"アイルウッドネックレス","アクセサリ","木工製品",0,"無人島の小枝",3,"無人島のつる",1,"無人島のパームリーフ",0,"無人島のパームリーフ",0,1,4,28
6,"アイルコーラルリング","アクセサリ","海産製品",0,"無人島の珊瑚",3,"無人島のつる",3,"無人島のパームリーフ",0,"無人島のパームリーフ",0,1,6,42
7,"アイルバルビュート","防具","金属製品",0,"無人島の銅鉱",3,"無人島の砂",3,"無人島のパームリーフ",0,"無人島のパームリーフ",0,1,6,42
8,"アイルマクアフティル","武器","木工製品",0,"無人島のパーム原木",3,"無人島の石材",3,"無人島のパームリーフ",0,"無人島のパームリーフ",0,1,6,42
9,"開拓工房のザワークラウト","保存食","",0,"アイルキャベツ",1,"無人島の岩塩",3,"無人島のパームリーフ",0,"無人島のパームリーフ",0,1,4,40
10,"開拓工房の焼きパンプキン","料理","",0,"アイルパンプキン",1,"無人島の樹液",3,"無人島のパームリーフ",0,"無人島のパームリーフ",0,1,4,40
11,"アイルチュニック","防具","布製品",0,"飼育動物のフリース",2,"無人島のつる",4,"無人島のパームリーフ",0,"無人島のパームリーフ",0,1,6,72
12,"アイルクリナリーナイフ","日用品","動物製品",0,"飼育動物の爪片",1,"無人島のパーム原木",3,"無人島のパームリーフ",0,"無人島のパームリーフ",0,1,4,44
13,"アイルブラシ","日用品","木工製品",0,"飼育動物の獣毛",1,"無人島のパーム原木",3,"無人島のパームリーフ",0,"無人島のパームリーフ",0,1,4,44
