key,0,1
#,GuideTitle,GuidePage
int32,GuideTitle,GuidePage
0,"","GuidePage#0"
1,"Job Gauge Details","GuidePage#1"
2,"Job Gauge Details","GuidePage#2"
3,"Job Gauge Details","GuidePage#3"
4,"Job Gauge Details","GuidePage#4"
5,"Job Gauge Details","GuidePage#5"
6,"Job Gauge Details","GuidePage#6"
7,"Job Gauge Details","GuidePage#7"
8,"Job Gauge Details","GuidePage#8"
9,"Job Gauge Details","GuidePage#9"
10,"Job Gauge Details","GuidePage#10"
11,"Job Gauge Details","GuidePage#11"
12,"Job Gauge Details","GuidePage#12"
13,"Job Gauge Details","GuidePage#13"
14,"Job Gauge Details","GuidePage#14"
15,"Job Gauge Details","GuidePage#15"
16,"Job Gauge Details","GuidePage#16"
17,"Job Gauge Details","GuidePage#17"
18,"Job Gauge Details","GuidePage#18"
19,"Job Gauge Details","GuidePage#19"
20,"Job Gauge Details","GuidePage#20"
21,"Job Gauge Details","GuidePage#21"
22,"Job Gauge Details","GuidePage#22"
23,"Job Gauge Details","GuidePage#23"
24,"Job Gauge Details","GuidePage#24"
25,"Job Gauge Details","GuidePage#25"
26,"Job Gauge Details","GuidePage#26"
27,"Job Gauge Details","GuidePage#27"
28,"Job Gauge Details","GuidePage#28"
29,"Job Gauge Details","GuidePage#29"
30,"Job Gauge Details","GuidePage#30"
31,"Job Gauge Details","GuidePage#31"
32,"Job Gauge Details","GuidePage#32"
33,"Job Gauge Details","GuidePage#33"
34,"Job Gauge Details","GuidePage#34"
35,"Job Gauge Details","GuidePage#35"
36,"Job Gauge Details","GuidePage#36"
37,"Job Gauge Details","GuidePage#37"
38,"Job Gauge Details","GuidePage#38"
39,"Job Gauge Details","GuidePage#39"
40,"Job Gauge Details","GuidePage#40"
41,"Job Gauge Details","GuidePage#41"
42,"Job Gauge Details","GuidePage#42"
43,"Job Gauge Details","GuidePage#43"
44,"Job Gauge Details","GuidePage#44"
45,"Job Gauge Details","GuidePage#45"
46,"Job Gauge Details","GuidePage#46"
47,"Job Gauge Details","GuidePage#47"
48,"Job Gauge Details","GuidePage#48"
49,"Job Gauge Details","GuidePage#49"
50,"","GuidePage#0"
