key,0,1,2,3,4,5
#,,,Name,Text,,
int32,byte,byte,SnipeTalkName,str,str,str
0,0,0,"","","",""
1,0,0,"","","",""
2,0,0,"","","",""
3,0,0,"","","",""
4,0,0,"","","",""
5,0,0,"","","",""
6,0,0,"","","",""
7,0,0,"","","",""
8,0,0,"","","",""
9,0,0,"","","",""
10,61,1,"ローンロン","……どうしたネ？
ローンロンを買うなら、フッブート金貨1枚じゃ足りないヨ？","",""
11,61,1,"サンクレッド","さて、水晶公は何と言っていたか……。","",""
12,61,1,"ミンフィリア","ちょっと、暗いですね……。
上で蝋燭をわけてもらった方がいいでしょうか……？","",""
13,61,1,"ヤ・シュトラ","…………？
私をじっと見て、どうしたというの？
こちらの調査は、もう少しかかるわよ。","",""
14,61,1,"水晶公","イテッ……！？
ど、どうして私を狙うんだ……！","",""
15,57,7,"","撃たれても微動だにせず、じっとこちらを見つめている。
少なくとも、ドワーフ族ではなさそうだ……。","",""
16,61,1,"のこのこドワーフ","わお、大正解～！
その識別力と行動力に、拍手ラリ～！","",""
17,61,1,"のこのこドワーフ","はっずれー！
ボクは正真正銘、トルーの兜を被ってまーす！
やーいやーい！　ンー、やーい！","",""
18,61,1,"のこのこドワーフ","ンガッハハハ！　フフ！　グフフ！
俺は撃っちゃいけないやつだぞ、まだまだだな！","",""
19,57,7,"","それらしき人物を発見した！","",""
20,57,7,"","……堂々とした佇まいだ。
しかし、ミステル族ではない。","",""
21,57,7,"","とても古そうな壁画だ。
中央の人物が武器を掲げている。
黒い獣が倒され、周りの人々は喜んでいるようだ……。","",""
22,57,7,"","かなり古そうな壁画だ。
玉座に座った人物に、大勢の人が謁見している……。","",""
23,57,7,"","それなりに古そうな壁画だ。
渦巻く闇と対峙する、数名の人物が描かれているようだが、
中央が無残に削り取られている……。","",""
24,61,1,"ローンロン","それは「ダラダラよだれパン」ネ！
中に、甘酸っぱいサボテンの実がたくさん練りこんであるから、
パサパサしてても大丈夫！　健康にもいいヨ！","",""
25,61,1,"ローンロン","それは「メラメラやる気ハム」ネ！
リザードの貴重な部位を、秘伝のスパイスでハムにしたヨ！
ちょっと変な匂いがするけど、食べると体がカッカするネ！","",""
26,61,1,"ローンロン","それは「モチモチおやつ串」ネ！
近くの岩場に隠れている小型のカエルを、シンプルに焼いたヨ！
あっさりしていて、食べやすいネ！","",""
27,61,1,"ローンロン","それは「ぷりぷりミミズ漬け」ネ！
みんな大好き白ミミズを、蜜に漬けこんだ夢の一品ヨ！
これ以外のスイーツは食べられなくなるネ！","",""
28,57,7,"","古びた石板を発見した！","",""
29,61,1,"ウリエンジェ","ふむ……これが祭壇だと思われますが、
「夜の民」の代表的な祭具である、水鏡がありませんね。
移動するときに、それだけ持ち去ったのでしょうか……。","",""
30,57,7,"","それらしき人物を発見した！
しかし、集落の方へと逃げていってしまった……。","",""
31,57,7,"","じ～っと、こちらを見つめている。
正体不明の人影ではないようだ……。","",""
32,61,1,"のこのこドワーフ","ラリホー！　お見事！
その調子で、本番もがんばれー！","",""
33,57,7,"","高くそびえた細長い建物に、多くの窓がついている。
ほかでは見かけない、特徴的な形と言えるだろう。","",""
34,57,7,"","……なぜか、ハシビロコウがいる。
理由はちっともわからないが、堂々と、いる。","",""
35,57,7,"","クリオニッドの幼生が、気弱そうな表情で漂っている……。
きっと、おとなしい生き物に違いない。","",""
36,61,1,"水晶公","ッ！？　どさくさに紛れて狙わないでくれ！
外れない、フードは外れないから……っ！","",""
37,57,7,"","撃たれても微動だにせず、
じっと、じ～～～っとこちらを見つめている。
どうあれ、ドワーフ族ではなさそうだ……。","",""
38,0,0,"","","",""
