key,0,1,2,3,4,5,6,7,8,9,10,11,12
#,Reward{Type}[0],Reward{Item}[0],Reward{HQ}[0],Reward{Quantity}[0],Reward{Option}[0],Reward{Type}[1],Reward{Item}[1],Reward{HQ}[1],Reward{Quantity}[1],Reward{Option}[1],Reward{Item}[2],Reward{HQ}[2],Reward{Quantity}[2]
int32,byte,Row,bit&01,uint16,WeeklyBingoRewardData,byte,Row,bool,uint16,WeeklyBingoRewardData,Item,bool,uint16
0,0,,False,0,"WeeklyBingoRewardData#0",0,,False,0,"WeeklyBingoRewardData#0","",False,0
1,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#1","アラグ白金貨",False,1
2,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
3,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
4,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
5,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
6,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
7,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
8,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
9,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
10,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
11,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
12,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
13,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
14,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
15,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
16,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
17,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
18,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
19,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
20,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
21,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
22,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
23,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
24,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
25,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
26,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
27,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
28,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
29,1,"アラグ白金貨",False,1,"WeeklyBingoRewardData#0",2,"アラガントームストーン:詩学",False,500,"WeeklyBingoRewardData#1","古ぼけた地図G15",False,1
30,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
31,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
32,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
33,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
34,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
35,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
36,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
37,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
38,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
39,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
40,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
41,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
42,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
43,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
44,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
45,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
46,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
47,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
48,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
49,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
50,1,"MGPプラチナカード",False,20,"WeeklyBingoRewardData#0",1,"クロの賞状:銀賞",False,3,"WeeklyBingoRewardData#1","クロの賞状:金賞",False,1
