key,0,1,2
#,,,
int32,int32,byte,str
0,61762,0,"未設定"
1,61801,20,"ダンジョン"
2,61804,21,"討伐・討滅戦"
3,61802,22,"レイド"
4,61832,23,"絶レイド"
5,61824,30,"特殊ダンジョン"
6,61837,31,"特殊フィールド探索"
7,61806,40,"PvP"
8,61836,51,"青魔道士"
9,61808,52,"トレジャーハント"
10,61819,53,"モブハント"
11,61816,100,"製作"
12,61755,101,"採掘・園芸"
13,61756,102,"釣り"
14,61757,10,"メインクエスト"
15,61820,54,"ゴールドソーサー"
16,61807,50,"コンテンツルーレット"
17,61752,150,"レベリング"
18,61751,151,"ロールプレイ"
19,61754,153,"ハードコア"
20,61753,152,"カジュアル"
21,61823,154,"ビギナー"
22,61760,155,"メンター"
23,61758,200,"ギル稼ぎ"
24,61764,204,"グループポーズ"
25,61759,203,"ミラージュプリズム"
26,61763,202,"楽器演奏"
27,61765,205,"チャット"
28,61761,201,"ハウジング"
29,61766,206,"プレイヤーイベント"
30,0,0,""
