key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
#,ClassJob,ClassJobLevel,Reward{Currency},RequiredItem[0],Quantity[0],RequestHq[0],Collectability{HighBonus}[0],Collectability{Bonus}[0],Collectability{Base}[0],ExpModifier[0],Reward{Scrips}[0],BonusMultiplier[0],ClassJobLevel{Max}[0],Stars[0],RequiredItem[1],Quantity[1],RequestHq[1],Collectability{HighBonus}[1],Collectability{Bonus}[1],Collectability{Base}[1],ExpModifier[1],Reward{Scrips}[1],BonusMultiplier[1],ClassJobLevel{Max}[1],Stars[1],RequiredItem[2],Quantity[2],RequestHq[2],Collectability{HighBonus}[2],Collectability{Bonus}[2],Collectability{Base}[2],ExpModifier[2],Reward{Scrips}[2],BonusMultiplier[2],ClassJobLevel{Max}[2],Stars[2],RequiredItem[3],Quantity[3],RequestHq[3],Collectability{HighBonus}[3],Collectability{Bonus}[3],Collectability{Base}[3],ExpModifier[3],Reward{Scrips}[3],BonusMultiplier[3],ClassJobLevel{Max}[3],Stars[3],RequiredItem[4],Quantity[4],RequestHq[4],Collectability{HighBonus}[4],Collectability{Bonus}[4],Collectability{Base}[4],ExpModifier[4],Reward{Scrips}[4],BonusMultiplier[4],ClassJobLevel{Max}[4],Stars[4],RequiredItem[5],Quantity[5],RequestHq[5],Collectability{HighBonus}[5],Collectability{Bonus}[5],Collectability{Base}[5],ExpModifier[5],Reward{Scrips}[5],BonusMultiplier[5],ClassJobLevel{Max}[5],Stars[5],RequiredItem[6],Quantity[6],RequestHq[6],Collectability{HighBonus}[6],Collectability{Bonus}[6],Collectability{Base}[6],ExpModifier[6],Reward{Scrips}[6],BonusMultiplier[6],ClassJobLevel{Max}[6],Stars[6],RequiredItem[7],Quantity[7],RequestHq[7],Collectability{HighBonus}[7],Collectability{Bonus}[7],Collectability{Base}[7],ExpModifier[7],Reward{Scrips}[7],BonusMultiplier[7],ClassJobLevel{Max}[7],Stars[7]
int32,ClassJob,byte,uint16,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte
0,"冒险者",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
1,"刻木匠",50,2,"灵银三尖枪",1,False,200,160,110,557,9,"MasterpieceSupplyMultiplier#1",51,0,"雪松长弓",1,False,200,160,110,455,7,"MasterpieceSupplyMultiplier#1",51,0,"雪松手杖",1,False,200,160,110,353,3,"MasterpieceSupplyMultiplier#1",51,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
2,"刻木匠",52,2,"灵银角力棒",1,False,280,220,160,605,20,"MasterpieceSupplyMultiplier#1",52,0,"圣雪松复合弓",1,False,280,220,160,556,22,"MasterpieceSupplyMultiplier#1",52,0,"雪松钓竿",1,False,280,220,160,462,13,"MasterpieceSupplyMultiplier#1",52,0,"星极砂轮机",1,False,340,270,190,417,17,"MasterpieceSupplyMultiplier#1",53,0,"圣雪松纺车",1,False,340,270,190,511,32,"MasterpieceSupplyMultiplier#1",53,0,"圣雪松腕环",1,False,340,270,190,323,20,"MasterpieceSupplyMultiplier#1",53,0,"圣雪松指环",1,False,340,270,190,230,16,"MasterpieceSupplyMultiplier#1",53,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
3,"刻木匠",54,2,"白钛骑枪",1,False,390,300,220,472,24,"MasterpieceSupplyMultiplier#1",54,0,"暗栗木长弓",1,False,390,300,220,472,24,"MasterpieceSupplyMultiplier#1",54,0,"暗栗木法杖",1,False,390,300,220,427,23,"MasterpieceSupplyMultiplier#1",54,0,"暗栗木钓竿",1,False,430,340,240,472,29,"MasterpieceSupplyMultiplier#1",55,0,"圣雪松项链",1,False,390,300,220,299,30,"MasterpieceSupplyMultiplier#1",54,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
4,"刻木匠",56,2,"暗栗木木材",1,False,440,340,250,235,3,"MasterpieceSupplyMultiplier#1",56,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
5,"刻木匠",56,2,"白钛战叉",1,False,480,370,270,518,42,"MasterpieceSupplyMultiplier#1",56,0,"祝圣栗木长弓",1,False,480,370,270,557,49,"MasterpieceSupplyMultiplier#1",56,0,"祝圣栗木治愈假面",1,False,480,370,270,438,37,"MasterpieceSupplyMultiplier#1",56,0,"祝圣栗木咏咒假面",1,False,480,370,270,438,38,"MasterpieceSupplyMultiplier#1",56,0,"祝圣栗木钓竿",1,False,530,410,290,358,26,"MasterpieceSupplyMultiplier#1",57,0,"白云母砂轮机",1,False,480,370,270,438,26,"MasterpieceSupplyMultiplier#1",56,0,"暗栗木纺车",1,False,480,370,270,438,31,"MasterpieceSupplyMultiplier#1",56,0,"祝圣栗木指环",1,False,530,410,290,197,14,"MasterpieceSupplyMultiplier#1",57,0
6,"刻木匠",58,2,"精金长枪",1,False,580,450,320,484,29,"MasterpieceSupplyMultiplier#1",58,0,"桦木长弓",1,False,580,450,320,484,48,"MasterpieceSupplyMultiplier#1",58,0,"桦木符杖",1,False,580,450,320,484,55,"MasterpieceSupplyMultiplier#1",58,0,"祝圣栗木腕环",1,False,580,450,320,259,21,"MasterpieceSupplyMultiplier#1",58,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
7,"刻木匠",59,2,"龙鳞砂轮机",1,False,630,490,350,308,24,"MasterpieceSupplyMultiplier#1",59,0,"桦木纺车",1,False,630,490,350,377,34,"MasterpieceSupplyMultiplier#1",59,0,"祝圣栗木项链",1,False,630,490,350,239,22,"MasterpieceSupplyMultiplier#1",59,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
8,"锻铁匠",50,2,"灵银斗剑",1,False,200,160,110,762,13,"MasterpieceSupplyMultiplier#1",51,0,"灵银拳剑",1,False,200,160,110,660,15,"MasterpieceSupplyMultiplier#1",51,0,"灵银战斧",1,False,200,160,110,762,13,"MasterpieceSupplyMultiplier#1",51,0,"灵银辅剑",1,False,200,160,110,762,15,"MasterpieceSupplyMultiplier#1",51,0,"灵银大剑",1,False,200,160,110,864,15,"MasterpieceSupplyMultiplier#1",51,0,"灵银明火枪",1,False,200,160,110,1000,17,"MasterpieceSupplyMultiplier#1",51,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
