key,0,1,2,3,4,5,6,7,8,9
#,Quest,,Category,,QuestRedoUISmall,QuestRedoUILarge,QuestRedoUIWide,ChapterName,ChapterPart,Transient
int32,Quest,byte,QuestRedoChapterUICategory,byte,Image,Image,Image,str,str,str
0,,0,"",0,,,,"","",""
1,,0,"",0,,,,"","",""
2,,0,"",0,,,,"","",""
3,,0,"",0,,,,"","",""
4,,0,"",0,,,,"","",""
5,,0,"",0,,,,"","",""
6,,0,"",0,,,,"","",""
7,"蒼天のイシュガルド",1,"蒼天のイシュガルド",0,"ui/icon/113000/113801.tex","ui/icon/113000/113601.tex","ui/icon/113000/113701.tex","蒼天のイシュガルド 1","","砂蠍衆ロロリトの謀略により、「暁の血盟」の輝きは失われた。
そして、堕ちた英雄は、失意のアルフィノと共に北方の地「クルザス」に向かう。
しかし、彼の地を治める宗教都市「イシュガルド」では、
千年の長きに亘るドラゴン族との戦い、竜詩戦争が続いていた。"
8,"蒼天のイシュガルド",1,"蒼天のイシュガルド",0,"ui/icon/113000/113802.tex","ui/icon/113000/113602.tex","ui/icon/113000/113702.tex","蒼天のイシュガルド 2","","ドラゴン族の領域を訪れ、聖竜「フレースヴェルグ」との邂逅を果たした一行は、
竜詩戦争の始まりに隠された歴史の真実を知ることに。
かつてあった人と竜との融和、そして人の王による裏切りと対立……
悲劇の連鎖を止めるため、光の戦士は蒼の竜騎士と邪竜狩りに挑む。"
9,"最期の咆哮",1,"蒼天のイシュガルド",0,"ui/icon/113000/113803.tex","ui/icon/113000/113603.tex","ui/icon/113000/113703.tex","竜詩戦争完結編","","幾多の犠牲を払いながら、光の戦士たちは「アジス・ラー」での決戦に勝利し、
戦いの因果の一端を断ち斬ることに成功した。
しかし、争いのすべてが消え去ったわけではない……。
イシュガルドの前途に困難が待ち受けていることは、誰の目にも明らかであった。"
10,"宿命の果て",1,"蒼天のイシュガルド",0,"ui/icon/113000/113804.tex","ui/icon/113000/113604.tex","ui/icon/113000/113704.tex","竜詩戦争戦後編","","雲廊での決戦により邪竜「ニーズヘッグ」の影が払われたことで、
千年の長きに亘った竜詩戦争は遂に終結した。
そして、ひとつの終わりは、新たな始まりを告げることになる。
ここからは、かの伯爵の回顧録には綴られない物語……。"
11,"紅蓮のリベレーター",1,"紅蓮のリベレーター",0,"ui/icon/113000/113805.tex","ui/icon/113000/113605.tex","ui/icon/113000/113705.tex","紅蓮のリベレーター 1","","ガレマール帝国の圧政から、
アラミゴの解放を目指して進軍を開始するエオルゼア同盟軍。
一方、時を同じくして東州オサード小大陸でも反撃の狼煙が上がろうとしていた。
光の戦士の冒険は、ついにエオルゼア地域を離れ、東方へも及んでいく。"
12,"紅蓮のリベレーター",1,"紅蓮のリベレーター",0,"ui/icon/113000/113806.tex","ui/icon/113000/113606.tex","ui/icon/113000/113706.tex","紅蓮のリベレーター 2","","紅玉海での冒険を経て、光の戦士たち一行は、
かつてドマが治めていた「ヤンサ」で、ふたたび帝国支配の実情を目の当たりにする。
代理総督「ヨツユ」による弾圧に苦しむ人々を救う秘策を求め、
光の戦士たちは、ドマの若君が潜伏する大草原、アジムステップへと向かう。"
13,"「暁」の少年",1,"紅蓮のリベレーター",0,"ui/icon/113000/113807.tex","ui/icon/113000/113607.tex","ui/icon/113000/113707.tex","解放戦争戦後編 1","","解放、それは支配の終わりであると同時に、新たな時代の始まりである。
その境目にあって、人々は過去と未来にどう向き合うべきか選択を迫られていた。
国造りを支えるため奔走するリセ、暗い独房に囚われたフォルドラ、
悲願を成し遂げた猛将ラウバーン、彼らが選ぶ道、帰るべき場所とは……。"
14,"英雄への鎮魂歌",1,"紅蓮のリベレーター",0,"ui/icon/113000/113808.tex","ui/icon/113000/113608.tex","ui/icon/113000/113708.tex","解放戦争戦後編 2","","ガレマール帝国の中枢にて暗躍する「ゼノスの顔を持つ男」。
そして、消えた皇太子ゼノスの遺体……。
それら不可解な事象の裏に混沌の使者、アシエンの介在が疑われる中、
「暁の血盟」の本部たる石の家にひとりの使者が訪れる。"
15,"漆黒のヴィランズ",1,"漆黒のヴィランズ",0,"ui/icon/113000/113809.tex","ui/icon/113000/113609.tex","ui/icon/113000/113709.tex","漆黒のヴィランズ 1","","アラミゴとドマをガレマール帝国の支配から解放した光の戦士。
しかし、その一方で英雄を支える「暁」の賢人たちが、謎の呼び声により倒れてゆく。
国境地帯ギムリトに戦火がくすぶる中、光の戦士は呼び声に導かれ、
新たな世界へと旅立つのであった……。"
16,"漆黒のヴィランズ",1,"漆黒のヴィランズ",0,"ui/icon/113000/113810.tex","ui/icon/113000/113610.tex","ui/icon/113000/113710.tex","漆黒のヴィランズ 2","","ラケティカ大森林に夜の闇を取り戻した、「闇の戦士」たちだったが、
未だノルヴラントには、光が満ちた地域も少なくない。
アシエン・エメトセルクによってもたらされた驚愕の真実を胸に、
一行は、さらなる反逆の旅路を歩むことになる。"
17,"真成を胸に……",3,"レイド",0,"ui/icon/113000/113811.tex","ui/icon/113000/113611.tex","ui/icon/113000/113711.tex","大迷宮バハムート","","ネール・ヴァン・ダーナスが仕掛けた「メテオ計劃」により、
エオルゼアへと落下し、砕け散った月の衛星「ダラガブ」。
その破片を伝って地下空間に広がる大迷宮を探索せよ！
暗がりに眠る、「第七霊災の真実」を求めて……！"
18,"輝く希望",3,"アライアンスレイド",0,"ui/icon/113000/113812.tex","ui/icon/113000/113612.tex","ui/icon/113000/113712.tex","クリスタルタワー","","聖典に記されたクリスタルの輝きに彩られた、眩いばかりの巨塔……。
長き間、伝説の存在だと考えられていたこの「クリスタルタワー」が、
第七霊災を境にモードゥナの地に姿を現した。
アラグの神秘を探求する仲間たちとともに、巨塔の謎に挑め。"
