key,0,1,2,3,4,5,6
#,Item,Sort,,X,Y,Radius,
int32,Item,byte,byte,int16,int16,uint16,byte
0,"",0,0,0,0,0,0
1,"無人島のパームリーフ",0,0,20,0,100,0
2,"無人島のアップル",21,1,194,72,100,0
3,"無人島の小枝",6,0,215,82,100,0
4,"無人島の石材",8,0,-22,-46,80,0
5,"無人島の二枚貝",9,0,-58,-694,150,0
6,"無人島の玉藻",10,0,765,16,100,0
7,"無人島の珊瑚",11,0,765,16,100,0
8,"無人島の草葉",2,0,-248,-592,100,0
9,"無人島の砂",5,0,236,88,75,0
10,"無人島の原木",23,1,215,82,100,0
11,"無人島のパーム原木",24,1,20,0,100,0
12,"無人島のつる",1,0,194,72,100,0
13,"無人島の樹液",7,0,144,11,100,0
14,"無人島の銅鉱",42,2,619,213,80,0
15,"無人島の石灰岩",41,2,-22,-46,80,0
16,"無人島の岩塩",43,2,685,-156,75,0
17,"無人島のサトウキビ",81,4,-9,-344,75,0
18,"無人島の綿花",82,4,476,246,75,0
19,"無人島の麻",83,4,556,-11,100,0
20,"無人島の粘土",61,3,236,89,75,0
21,"無人島の砂錫",62,3,12,-140,75,0
22,"無人島の鉄鉱",121,6,489,-249,100,0
23,"無人島のクォーツ",123,6,392,-360,200,0
24,"無人島の花崗岩",122,6,603,-667,125,0
25,"無人島の海水魚",101,5,-58,-694,150,0
26,"無人島のスキッド",102,5,765,16,100,0
27,"無人島のジェリーフィッシュ",103,5,765,16,100,0
28,"アイルポポトの種芋",63,3,-248,-592,100,0
29,"アイルキャベツの種",3,0,-25,-198,75,0
30,"アイルパースニップの種",64,3,-224,-460,100,0
31,"アイルパンプキンの種",4,0,35,110,75,0
32,"無人島の天然樹脂",140,7,215,82,100,0
33,"無人島のココナッツ",141,7,20,0,100,0
34,"無人島の蜜蜂の巣",142,7,194,72,100,0
35,"無人島のウッドオパール",143,7,144,11,100,0
36,"無人島の極彩色の花",130,0,194,-384,75,0
37,"無人島の石炭",151,2,405,-238,80,1
38,"無人島の堆積岩",155,8,405,-238,80,1
39,"無人島のトモシビタケ",150,0,458,-370,80,1
40,"無人島の大理石",153,8,-22,-46,80,0
41,"無人島の霊銀鉱",154,8,619,213,80,0
42,"無人島のソーダ水",152,2,304,-269,80,1
43,"無人島の幻影石",156,8,304,-269,80,1
