key,0,1,2,3,4,5,6,7
#,Name,Icon,ClassJob,Level,Quest,Value,ClassJobCategory,
int32,str,Image,ClassJob,byte,Quest,int16,ClassJobCategory,byte
0,"",,"冒险者",0,,0,"",0
1,"耐力提高",,"冒险者",0,,0,"",0
2,"耐力提高II",,"冒险者",0,,0,"",0
3,"耐力提高III",,"冒险者",0,,0,"",0
4,"耐力提高",,"冒险者",0,,0,"",0
5,"耐力提高II",,"冒险者",0,,0,"",0
6,"耐力提高III",,"冒险者",0,,0,"",0
7,"力量提高",,"冒险者",0,,0,"",0
8,"力量提高II",,"冒险者",0,,0,"",0
9,"力量提高III",,"冒险者",0,,0,"",0
10,"疾风迅雷效果提高","ui/icon/005000/005230.tex","格斗家",20,,0,"格斗家 武僧",0
11,"疾风迅雷效果提高II","ui/icon/005000/005231.tex","格斗家",40,,0,"格斗家 武僧",0
12,"力量提高",,"冒险者",0,,0,"",0
13,"力量提高II",,"冒险者",0,,0,"",0
14,"力量提高III",,"冒险者",0,,0,"",0
15,"灵巧提高",,"冒险者",0,,0,"",0
16,"灵巧提高II",,"冒险者",0,,0,"",0
17,"强力射击效果提高","ui/icon/005000/005306.tex","弓箭手",2,,0,"弓箭手 吟游诗人",0
18,"技能伤害提高","ui/icon/005000/005302.tex","弓箭手",20,,10,"弓箭手 吟游诗人",0
19,"灵巧提高III",,"冒险者",0,,0,"",0
20,"技能伤害提高II","ui/icon/005000/005303.tex","弓箭手",40,,20,"弓箭手 吟游诗人",0
21,"精神提高",,"冒险者",0,,0,"",0
22,"精神提高II",,"冒险者",0,,0,"",0
23,"技能效果提高","ui/icon/005000/005185.tex","幻术师",20,,10,"幻术师 白魔法师",0
24,"精神提高III",,"冒险者",0,,0,"",0
25,"治疗效果提高","ui/icon/005000/005330.tex","幻术师",32,,0,"幻术师 白魔法师",0
26,"技能效果提高II","ui/icon/005000/005186.tex","幻术师",40,,30,"幻术师 白魔法师",0
27,"智力提高",,"冒险者",0,,0,"",0
28,"智力提高II",,"冒险者",0,,0,"",0
29,"技能效果提高","ui/icon/005000/005185.tex","咒术师",20,,10,"咒术师 黑魔法师",0
