key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,UnlockType1,UnlockCriteria1,,,,,,UnlockType2,UnlockCriteria2,UnlockCriteria3,UnlockCriteria4,HasPrerequisite,Prerequisite,,
int32,byte,Row,uint32,uint32,uint32,uint32,uint32,byte,Row,Row,Row,byte,Quest,byte,bit&01
0,0,,0,0,0,0,0,0,,,,0,,0,False
1,10,,0,0,0,0,0,1,,,,0,,0,False
2,5,"表情：破顔",0,0,0,0,0,16,,,,1,"いざ、魅惑の遊技場へ",51,False
3,5,"表情：熟考",0,0,0,0,0,5,"演技教本:熟考",,,1,"英雄の卵",41,False
4,5,"表情：空想",0,0,0,0,0,2,"「暁」の少年",,,1,"月下の華",43,False
5,5,"表情：忍耐",0,0,0,0,0,2,"響き渡る声",,,1,"楔石の虚",43,False
6,0,,0,0,0,0,0,0,,,,0,,0,False
7,5,"挨拶する",0,0,0,0,0,2,"風雲急を告げる報せ",,,1,"英雄の帰還",43,False
8,0,,0,0,0,0,0,0,,,,0,,0,False
9,5,"ラリホー",0,0,0,0,0,2," ラリホー！！！！",,,1," 挨拶の猛特訓！",54,False
10,5,"戦いに備える",0,0,0,0,0,2,"運命の歯車",,,1,"光さす明日へ",42,False
11,5,"勝利を喜ぶ",0,0,0,0,0,2,"四国合同演習",,,1,"その者の選択",42,False
12,0,,0,0,0,0,0,0,,,,0,,0,False
13,0,,0,0,0,0,0,0,,,,0,,0,False
14,0,,0,0,0,0,0,0,,,,0,,0,False
15,5,"眼鏡を正す",0,0,0,0,0,2,"怪文書の影に",,,1,"継がれゆく使命",52,False
16,5,"静寂を促す",0,0,0,0,0,2,"黎明の死闘",,,1,"知の集積者",44,False
17,5,"ステップダンス",0,0,0,0,0,2,"こっそりバッチリ愉快な踊り",,,1,"こっそりバッチリ愉快な踊り",51,False
18,0,,0,0,0,0,0,0,,,,0,,0,False
19,5,"宮廷の舞",0,0,0,0,0,2,"踊り子は次の舞台へ",,,1,"踊り子は次の舞台へ",51,False
20,5,"紳士の舞",0,0,0,0,0,2,"白髪の鬼",,,1,"はじまりの予告",51,False
21,0,,0,0,0,0,0,0,,,,0,,0,False
22,5,"太陽の舞",0,0,0,0,0,2," 畏敬されし者",,,1," 友好への宴",47,False
23,5,"太陽と月の舞",0,0,0,0,0,2,"導かれし盟友たち",,,1,"勇猛なる太陽と月の舞",47,False
24,0,,0,0,0,0,0,0,,,,0,,0,False
25,5,"鼻歌",0,0,0,0,0,2,"朱色慕情",,,1,"時をかける亀",53,False
26,0,,0,0,0,0,0,0,,,,0,,0,False
27,5,"格闘訓練",0,0,0,0,0,2,"冒険の誘い",,,1,"紅蓮のリベレーター",43,False
28,0,,0,0,0,0,0,0,,,,0,,0,False
29,0,,0,0,0,0,0,0,,,,0,,0,False
30,0,,0,0,0,0,0,0,,,,0,,0,False
31,5,"ビーステップ",0,0,0,0,0,16,,,,1,"いざ、魅惑の遊技場へ",51,False
