key,0,1,2
#,Name,Description,Icon
int32,str,str,Image
0,"没有道具","未持有竞赛道具。
触碰道具箱后可以获得竞赛道具。","ui/icon/070000/070101.tex"
1,"陆行鸟恢复药","恢复自身最大体力的10%。","ui/icon/070000/070102.tex"
2,"体力之药","10秒内不会消耗体力。并且体力为0时会恢复少许。","ui/icon/070000/070104.tex"
3,"陆行鸟跑鞋","使陆行鸟全力奔跑。","ui/icon/070000/070105.tex"
4,"陆行鸟以太药","将一个已使用的能力恢复成可再次使用状态。","ui/icon/070000/070108.tex"
5,"酒神之水","使跑在自己前面的竞赛陆行鸟陷入失控状态。","ui/icon/070000/070107.tex"
6,"重力球","使跑在自己前面的竞赛陆行鸟陷入加重状态。","ui/icon/070000/070109.tex"
7,"荆棘种子","在自身周围生成结界，消耗其他进入范围的竞赛陆行鸟的体力。","ui/icon/070000/070103.tex"
8,"英雄药","使自己的竞赛陆行鸟能力上升15秒，并让所有弱化效果无效。","ui/icon/070000/070106.tex"
9,"陆行鸟陨石","向跑在自己前面的所有竞赛陆行鸟降下陆行鸟陨石。","ui/icon/070000/070110.tex"
10,"体力互换","从跑在自己前面的竞赛陆行鸟中随机选择一只与自己的竞赛陆行鸟互换现有的体力。对体力比自己低的竞赛陆行鸟无效。","ui/icon/070000/070111.tex"
11,"蜘蛛丝","使跑在自己后面的竞赛陆行鸟陷入不可使用道具的状态。","ui/icon/070000/070112.tex"
