key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,Model,,,,,Order,Icon,Transient,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article
int32,uint16,byte,byte,byte,uint16,int16,Image,uint16,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte
0,0,0,0,0,0,-1,,0,"",0,"",0,0,1,0,0
1,2939,1,1,1,2,0,"ui/icon/008000/008001.tex",1,"パラソル",0,"",0,0,1,0,0
2,2940,1,1,1,2,1,"ui/icon/008000/008002.tex",2,"スカイパラソル",0,"",0,0,1,0,0
3,3007,1,1,1,2,2,"ui/icon/008000/008003.tex",3,"紅漆塗番傘",0,"",0,0,1,0,0
4,3008,1,1,1,2,3,"ui/icon/008000/008004.tex",4,"紫漆塗番傘",0,"",0,0,1,0,0
5,3009,1,1,1,2,4,"ui/icon/008000/008005.tex",5,"黄漆塗番傘",0,"",0,0,1,0,0
6,3010,1,1,1,2,5,"ui/icon/008000/008006.tex",6,"カルムチェックパラソル",0,"",0,0,1,0,0
7,3011,1,1,1,2,6,"ui/icon/008000/008007.tex",7,"チアフルチェックパラソル",0,"",0,0,1,0,0
8,3012,1,1,1,2,7,"ui/icon/008000/008008.tex",8,"クラッシーチェックパラソル",0,"",0,0,1,0,0
9,3042,2,0,2,0,8,"ui/icon/008000/008013.tex",100,"エンジェルウィング",0,"",0,0,1,0,0
10,3169,1,1,1,2,9,"ui/icon/008000/008012.tex",9,"ゴールドソーサーパラソル",0,"",0,0,1,0,0
11,3166,1,1,1,2,10,"ui/icon/008000/008009.tex",10,"プレザントドットパラソル",0,"",0,0,1,0,0
12,3167,1,1,1,2,11,"ui/icon/008000/008010.tex",11,"プリムドットパラソル",0,"",0,0,1,0,0
13,3168,1,1,1,2,12,"ui/icon/008000/008011.tex",12,"パストーラルドットパラソル",0,"",0,0,1,0,0
14,3286,1,1,1,2,13,"ui/icon/008000/008014.tex",13,"ファットキャットパラソル",0,"",0,0,1,0,0
15,3287,1,1,1,2,14,"ui/icon/008000/008015.tex",14,"ロンカの水蛇傘？",0,"",0,0,1,0,0
16,3288,1,1,1,2,15,"ui/icon/008000/008016.tex",15,"紅小月番傘",0,"",0,0,1,0,0
17,3426,2,0,2,0,16,"ui/icon/008000/008017.tex",100,"フォーリン・エンジェルウィング",0,"",0,0,1,0,0
18,3427,2,0,2,0,17,"ui/icon/008000/008018.tex",100,"アーク・エンジェルウィング",0,"",0,0,1,0,0
19,3428,3,0,2,0,18,"ui/icon/008000/008019.tex",101,"ディアボロスウィング",0,"",0,0,1,0,0
20,3429,6,0,2,0,19,"ui/icon/008000/008020.tex",102,"ピクシーウィング",0,"",0,0,1,0,0
21,0,0,0,0,0,0,,0,"",0,"",0,0,0,0,0
22,3431,5,0,2,0,21,"ui/icon/008000/008022.tex",200,"ミラージュ・オーバルグラス",0,"",0,0,1,0,0
23,3611,1,1,1,2,22,"ui/icon/008000/008023.tex",16,"ホワイトフリルパラソル",0,"",0,0,1,0,0
24,3612,1,1,1,2,23,"ui/icon/008000/008024.tex",17,"ブルーブロッサムパラソル",0,"",0,0,1,0,0
25,3613,5,0,2,0,24,"ui/icon/008000/008025.tex",201,"ミラージュ・シェイデッドグラス",0,"",0,0,1,0,0
26,3614,7,0,2,0,25,"ui/icon/008000/008026.tex",202,"ミラージュ・クラシックグラス",0,"",0,0,1,0,0
27,3701,1,1,1,2,26,"ui/icon/008000/008027.tex",18,"サボテンダーパラソル",0,"",0,0,1,0,0
28,3702,6,0,2,0,27,"ui/icon/008000/008028.tex",102,"ブルーピクシーウィング",0,"",0,0,1,0,0
29,0,0,0,0,0,0,,0,"",0,"",0,0,0,0,0
30,3815,1,1,1,2,28,"ui/icon/008000/008029.tex",19,"ねこみみさんの傘",0,"",0,0,1,0,0
31,0,0,0,0,0,0,,0,"",0,"",0,0,0,0,0
