key,0,1,2,3,4
#,Image,Icon,UnlockCondition,SortKey,Name
int32,Image,Image,BannerCondition,uint16,str
0,,"ui/icon/082000/082092.tex","BannerCondition#0",0,"なし"
1,"ui/icon/191000/191001.tex","ui/icon/082000/082092.tex","BannerCondition#1",1,"なし"
2,"ui/icon/191000/191002.tex","ui/icon/082000/082092.tex","BannerCondition#1",3,"フェード：ブラック"
3,"ui/icon/191000/191003.tex","ui/icon/082000/082092.tex","BannerCondition#1",2,"フェード：ホワイト"
4,"ui/icon/191000/191004.tex","ui/icon/082000/082092.tex","BannerCondition#1",7,"シンプルフレーム：ホワイト"
5,"ui/icon/191000/191005.tex","ui/icon/082000/082092.tex","BannerCondition#1",5,"メタルフレーム：シルバー"
6,"ui/icon/191000/191006.tex","ui/icon/082000/082092.tex","BannerCondition#1",4,"メタルフレーム：ゴールド"
7,"ui/icon/191000/191007.tex","ui/icon/082000/082092.tex","BannerCondition#1",10,"ジャーナル"
8,"ui/icon/191000/191008.tex","ui/icon/082000/082092.tex","BannerCondition#1",8,"シンプルフレーム：ブラウン"
9,"ui/icon/191000/191009.tex","ui/icon/082000/082092.tex","BannerCondition#1",9,"シンプルフレーム：ソリッド"
10,"ui/icon/191000/191010.tex","ui/icon/082000/082092.tex","BannerCondition#1",20,"アンティーク"
11,"ui/icon/191000/191011.tex","ui/icon/082000/082092.tex","BannerCondition#1",21,"隅飾り"
12,"ui/icon/191000/191301.tex","ui/icon/082000/082092.tex","BannerCondition#124",2000,"ナイト"
13,"ui/icon/191000/191302.tex","ui/icon/082000/082092.tex","BannerCondition#125",2001,"戦士"
14,"ui/icon/191000/191303.tex","ui/icon/082000/082092.tex","BannerCondition#126",2002,"暗黒騎士"
15,"ui/icon/191000/191304.tex","ui/icon/082000/082092.tex","BannerCondition#127",2003,"ガンブレイカー"
16,"ui/icon/191000/191305.tex","ui/icon/082000/082092.tex","BannerCondition#128",2004,"白魔道士"
17,"ui/icon/191000/191306.tex","ui/icon/082000/082092.tex","BannerCondition#129",2005,"学者"
18,"ui/icon/191000/191307.tex","ui/icon/082000/082092.tex","BannerCondition#130",2006,"占星術師"
19,"ui/icon/191000/191308.tex","ui/icon/082000/082092.tex","BannerCondition#131",2007,"賢者"
20,"ui/icon/191000/191309.tex","ui/icon/082000/082092.tex","BannerCondition#132",2008,"モンク"
21,"ui/icon/191000/191310.tex","ui/icon/082000/082092.tex","BannerCondition#133",2009,"竜騎士"
22,"ui/icon/191000/191311.tex","ui/icon/082000/082092.tex","BannerCondition#134",2010,"忍者"
23,"ui/icon/191000/191312.tex","ui/icon/082000/082092.tex","BannerCondition#135",2011,"侍"
