key,0,1,2
#,Item,Category,Crop
int32,Item,MJIItemCategory,MJICropSeed
0,"無人島のパームリーフ","開拓素材",""
1,"無人島のアップル","開拓素材",""
2,"無人島の小枝","開拓素材",""
3,"無人島の石材","開拓素材",""
4,"無人島の二枚貝","開拓素材",""
5,"無人島の玉藻","開拓素材",""
6,"無人島の珊瑚","開拓素材",""
7,"無人島の草葉","開拓素材",""
8,"無人島の砂","開拓素材",""
9,"無人島の原木","開拓素材",""
10,"無人島のパーム原木","開拓素材",""
11,"無人島のつる","開拓素材",""
12,"無人島の樹液","開拓素材",""
13,"無人島の銅鉱","開拓素材",""
14,"無人島の石灰岩","開拓素材",""
15,"無人島の岩塩","開拓素材",""
16,"無人島のサトウキビ","開拓素材",""
17,"無人島の綿花","開拓素材",""
18,"無人島の麻","開拓素材",""
19,"無人島の粘土","開拓素材",""
20,"無人島の砂錫","開拓素材",""
21,"無人島の鉄鉱","開拓素材",""
22,"無人島のクォーツ","開拓素材",""
23,"無人島の花崗岩","開拓素材",""
24,"無人島の海水魚","開拓素材",""
25,"無人島のスキッド","開拓素材",""
26,"無人島のジェリーフィッシュ","開拓素材",""
27,"無人島のアリッサム","開拓素材",""
28,"無人島のガーネット原石","開拓素材",""
29,"無人島のスプルース原木","開拓素材",""
30,"無人島のハンマーヘッド","開拓素材",""
31,"無人島の銀鉱","開拓素材",""
32,"アイルポポトの種芋","種子類","アイルポポト"
33,"アイルキャベツの種","種子類","アイルキャベツ"
34,"アイルベリーの種","種子類","アイルベリー"
35,"アイルパンプキンの種","種子類","アイルパンプキン"
36,"アイルオニオンの種","種子類","アイルオニオン"
37,"アイルトマトの種","種子類","アイルトマト"
38,"アイル小麦の種","種子類","アイル小麦"
39,"アイルコーンの種","種子類","アイルコーン"
40,"アイルパースニップの種","種子類","アイルパースニップ"
41,"アイルラディッシュの種","種子類","アイルラディッシュ"
42,"アイルポポト","開拓作物",""
43,"アイルキャベツ","開拓作物",""
44,"アイルベリー","開拓作物",""
45,"アイルパンプキン","開拓作物",""
46,"アイルオニオン","開拓作物",""
47,"アイルトマト","開拓作物",""
48,"アイル小麦","開拓作物",""
49,"アイルコーン","開拓作物",""
50,"アイルパースニップ","開拓作物",""
51,"アイルラディッシュ","開拓作物",""
52,"飼育動物のフリース","畜産素材",""
53,"飼育動物の爪片","畜産素材",""
54,"飼育動物の獣毛","畜産素材",""
55,"飼育動物の羽根","畜産素材",""
56,"飼育動物の卵","畜産素材",""
57,"飼育動物の脱皮殻","畜産素材",""
58,"飼育動物の牙","畜産素材",""
59,"飼育動物の角片","畜産素材",""
60,"飼育動物の乳","畜産素材",""
61,"無人島の果実飼料","畜産飼料",""
62,"無人島の野菜飼料","畜産飼料",""
63,"無人島の野菜飼料：高級","畜産飼料",""
64,"捕獲網","捕獲道具",""
65,"捕獲縄","捕獲道具",""
66,"捕獲睡眠玉","捕獲道具",""
