key,0,1,2,3,4,5,6
#,GatheringType,ClassJob,Quest,Division,Item,FolkloreBook,
int32,GatheringType,ClassJob,Quest,uint16,Item,str,byte
2000,"砕岩","採掘師",,2000,"鉱物伝承録:クルザス","鉱物伝承録:クルザス",0
2001,"砕岩","採掘師",,2000,"鉱物伝承録:クルザス","鉱物伝承録:クルザス",0
2002,"伐採","園芸師",,2000,"草木伝承録:クルザス","草木伝承録:クルザス",0
2003,"伐採","園芸師",,2000,"草木伝承録:クルザス","草木伝承録:クルザス",0
2004,"砕岩","採掘師",,2001,"鉱物伝承録:ドラヴァニア","鉱物伝承録:ドラヴァニア",0
2005,"砕岩","採掘師",,2001,"鉱物伝承録:ドラヴァニア","鉱物伝承録:ドラヴァニア",0
2006,"伐採","園芸師",,2001,"草木伝承録:ドラヴァニア","草木伝承録:ドラヴァニア",0
2007,"伐採","園芸師",,2001,"草木伝承録:ドラヴァニア","草木伝承録:ドラヴァニア",0
2008,"砕岩","採掘師",,2002,"鉱物伝承録:アバラシア","鉱物伝承録:アバラシア",0
2009,"砕岩","採掘師",,2002,"鉱物伝承録:アバラシア","鉱物伝承録:アバラシア",0
2010,"伐採","園芸師",,2002,"草木伝承録:アバラシア","草木伝承録:アバラシア",0
2011,"伐採","園芸師",,2002,"草木伝承録:アバラシア","草木伝承録:アバラシア",0
2012,"砕岩","採掘師",,2003,"鉱物伝承録:ギラバニア","鉱物伝承録:ギラバニア",0
2013,"砕岩","採掘師",,2003,"鉱物伝承録:ギラバニア","鉱物伝承録:ギラバニア",0
2014,"伐採","園芸師",,2003,"草木伝承録:ギラバニア","草木伝承録:ギラバニア",0
2015,"伐採","園芸師",,2003,"草木伝承録:ギラバニア","草木伝承録:ギラバニア",0
2016,"砕岩","採掘師",,2004,"鉱物伝承録:オサード","鉱物伝承録:オサード",0
2017,"砕岩","採掘師",,2004,"鉱物伝承録:オサード","鉱物伝承録:オサード",0
2018,"伐採","園芸師",,2004,"草木伝承録:オサード","草木伝承録:オサード",0
2019,"伐採","園芸師",,2004,"草木伝承録:オサード","草木伝承録:オサード",0
2020,"砕岩","採掘師",,2005,"鉱物伝承録:ノルヴラント","鉱物伝承録:ノルヴラント",0
2021,"砕岩","採掘師",,2005,"鉱物伝承録:ノルヴラント","鉱物伝承録:ノルヴラント",0
2022,"伐採","園芸師",,2005,"草木伝承録:ノルヴラント","草木伝承録:ノルヴラント",0
2023,"伐採","園芸師",,2005,"草木伝承録:ノルヴラント","草木伝承録:ノルヴラント",0
2024,"砕岩","採掘師",,2010,"鉱物伝承録:北洋地域・イルサバード","鉱物伝承録:北洋地域・イルサバード",0
2025,"砕岩","採掘師",,2010,"鉱物伝承録:北洋地域・イルサバード","鉱物伝承録:北洋地域・イルサバード",0
2026,"伐採","園芸師",,2010,"草木伝承録:北洋地域・イルサバード","草木伝承録:北洋地域・イルサバード",0
2027,"伐採","園芸師",,2010,"草木伝承録:北洋地域・イルサバード","草木伝承録:北洋地域・イルサバード",0
2028,"砕岩","採掘師",,2011,"鉱物伝承録:星外宙域","鉱物伝承録:星外宙域",0
2029,"砕岩","採掘師",,2011,"鉱物伝承録:星外宙域","鉱物伝承録:星外宙域",0
2030,"伐採","園芸師",,2011,"草木伝承録:星外宙域","草木伝承録:星外宙域",0
2031,"伐採","園芸師",,2011,"草木伝承録:星外宙域","草木伝承録:星外宙域",0
2032,"砕岩","採掘師",,2012,"鉱物伝承録:古代世界","鉱物伝承録:古代世界",0
2033,"砕岩","採掘師",,2012,"鉱物伝承録:古代世界","鉱物伝承録:古代世界",0
2034,"伐採","園芸師",,2012,"草木伝承録:古代世界","草木伝承録:古代世界",0
2035,"伐採","園芸師",,2012,"草木伝承録:古代世界","草木伝承録:古代世界",0
2200,"砕岩","採掘師",,2006,"","イシュガルド復興：鉱物資源",2
2201,"砕岩","採掘師",,2006,"","イシュガルド復興：鉱物資源",2
2202,"伐採","園芸師",,2006,"","イシュガルド復興：草木資源",2
2203,"伐採","園芸師",,2006,"","イシュガルド復興：草木資源",2
2204,"砕岩","採掘師",,2006,"","イシュガルド復興：鉱物資源",3
2205,"砕岩","採掘師",,2006,"","イシュガルド復興：鉱物資源",3
2206,"伐採","園芸師",,2006,"","イシュガルド復興：草木資源",3
2207,"伐採","園芸師",,2006,"","イシュガルド復興：草木資源",3
2208,"砕岩","採掘師","工房に眠っていた古道具",2007,"","スカイスチールツール：鉱物資源（その1）",0
2209,"砕岩","採掘師","工房に眠っていた古道具",2007,"","スカイスチールツール：鉱物資源（その1）",0
2210,"伐採","園芸師","工房に眠っていた古道具",2007,"","スカイスチールツール：草木資源（その1）",0
2211,"伐採","園芸師","工房に眠っていた古道具",2007,"","スカイスチールツール：草木資源（その1）",0
2212,"砕岩","採掘師",,2006,"","イシュガルド復興：鉱物資源",4
2213,"砕岩","採掘師",,2006,"","イシュガルド復興：鉱物資源",4
2214,"伐採","園芸師",,2006,"","イシュガルド復興：草木資源",4
2215,"伐採","園芸師",,2006,"","イシュガルド復興：草木資源",4
2216,"砕岩","採掘師","改良計画の凶悪な助っ人",2007,"","スカイスチールツール：鉱物資源（その2）",0
2217,"砕岩","採掘師","改良計画の凶悪な助っ人",0,"","",0
2218,"伐採","園芸師","改良計画の凶悪な助っ人",2007,"","スカイスチールツール：草木資源（その2）",0
2219,"伐採","園芸師","改良計画の凶悪な助っ人",0,"","",0
2220,"砕岩","採掘師","職人の新たなお仕事",2008,"","Lv51～",0
2221,"砕岩","採掘師","職人の新たなお仕事",2008,"","Lv51～",0
2222,"伐採","園芸師","職人の新たなお仕事",2008,"","Lv51～",0
2223,"伐採","園芸師","職人の新たなお仕事",2008,"","Lv51～",0
2224,"砕岩","採掘師","職人の新たなお仕事",2008,"","Lv56～",0
2225,"砕岩","採掘師","職人の新たなお仕事",2008,"","Lv56～",0
2226,"伐採","園芸師","職人の新たなお仕事",2008,"","Lv56～",0
2227,"伐採","園芸師","職人の新たなお仕事",2008,"","Lv56～",0
2228,"砕岩","採掘師","職人の新たなお仕事",2008,"","Lv61～",0
2229,"砕岩","採掘師","職人の新たなお仕事",2008,"","Lv61～",0
2230,"伐採","園芸師","職人の新たなお仕事",2008,"","Lv61～",0
2231,"伐採","園芸師","職人の新たなお仕事",2008,"","Lv61～",0
2232,"砕岩","採掘師","職人の新たなお仕事",2008,"","Lv66～",0
2233,"砕岩","採掘師","職人の新たなお仕事",2008,"","Lv66～",0
2234,"伐採","園芸師","職人の新たなお仕事",2008,"","Lv66～",0
2235,"伐採","園芸師","職人の新たなお仕事",2008,"","Lv66～",0
2236,"砕岩","採掘師","職人の新たなお仕事",2009,"","Lv71～",0
2237,"砕岩","採掘師","職人の新たなお仕事",2009,"","Lv71～",0
2238,"伐採","園芸師","職人の新たなお仕事",2009,"","Lv71～",0
2239,"伐採","園芸師","職人の新たなお仕事",2009,"","Lv71～",0
2240,"砕岩","採掘師","職人の新たなお仕事",2009,"","Lv76～",0
2241,"砕岩","採掘師","職人の新たなお仕事",2009,"","Lv76～",0
2242,"伐採","園芸師","職人の新たなお仕事",2009,"","Lv76～",0
2243,"伐採","園芸師","職人の新たなお仕事",2009,"","Lv76～",0
