key,0,1,2,3,4
#,Image,Icon,UnlockCondition,SortKey,Name
int32,Image,Image,BannerCondition,uint16,str
0,,"ui/icon/082000/082093.tex","BannerCondition#0",0,"なし"
1,"ui/icon/192000/192001.tex","ui/icon/082000/082093.tex","BannerCondition#1",1,"无"
2,"ui/icon/192000/192002.tex","ui/icon/082000/082093.tex","BannerCondition#1",2,"月桂叶"
3,"ui/icon/192000/192003.tex","ui/icon/082000/082093.tex","BannerCondition#1",3,"心形"
4,"ui/icon/192000/192004.tex","ui/icon/082000/082093.tex","BannerCondition#1",4,"星星"
5,"ui/icon/192000/192005.tex","ui/icon/082000/082093.tex","BannerCondition#1",5,"防护职业"
6,"ui/icon/192000/192006.tex","ui/icon/082000/082093.tex","BannerCondition#1",7,"进攻职业"
7,"ui/icon/192000/192007.tex","ui/icon/082000/082093.tex","BannerCondition#1",6,"治疗职业"
8,"ui/icon/192000/192008.tex","ui/icon/082000/082093.tex","BannerCondition#1",8,"闪亮"
9,"ui/icon/192000/192009.tex","ui/icon/082000/082093.tex","BannerCondition#1",9,"肉球"
10,"ui/icon/192000/192010.tex","ui/icon/082000/082093.tex","BannerCondition#1",10,"感叹号"
11,"ui/icon/192000/192011.tex","ui/icon/082000/082093.tex","BannerCondition#1",11,"问号"
12,"ui/icon/192000/192301.tex","ui/icon/082000/082093.tex","BannerCondition#124",2000,"骑士"
13,"ui/icon/192000/192302.tex","ui/icon/082000/082093.tex","BannerCondition#125",2001,"战士"
14,"ui/icon/192000/192303.tex","ui/icon/082000/082093.tex","BannerCondition#126",2002,"暗黑骑士"
15,"ui/icon/192000/192304.tex","ui/icon/082000/082093.tex","BannerCondition#127",2003,"绝枪战士"
16,"ui/icon/192000/192305.tex","ui/icon/082000/082093.tex","BannerCondition#128",2004,"白魔法师"
17,"ui/icon/192000/192306.tex","ui/icon/082000/082093.tex","BannerCondition#129",2005,"学者"
18,"ui/icon/192000/192307.tex","ui/icon/082000/082093.tex","BannerCondition#130",2006,"占星术士"
19,"ui/icon/192000/192308.tex","ui/icon/082000/082093.tex","BannerCondition#131",2007,"贤者"
20,"ui/icon/192000/192309.tex","ui/icon/082000/082093.tex","BannerCondition#132",2008,"武僧"
21,"ui/icon/192000/192310.tex","ui/icon/082000/082093.tex","BannerCondition#133",2009,"龙骑士"
22,"ui/icon/192000/192311.tex","ui/icon/082000/082093.tex","BannerCondition#134",2010,"忍者"
23,"ui/icon/192000/192312.tex","ui/icon/082000/082093.tex","BannerCondition#135",2011,"武士"
24,"ui/icon/192000/192313.tex","ui/icon/082000/082093.tex","BannerCondition#136",2012,"钐镰客"
25,"ui/icon/192000/192314.tex","ui/icon/082000/082093.tex","BannerCondition#137",2013,"吟游诗人"
