key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
#,Number,CraftType,RecipeLevelTable,Item{Result},Amount{Result},Item{Ingredient}[0],Amount{Ingredient}[0],Item{Ingredient}[1],Amount{Ingredient}[1],Item{Ingredient}[2],Amount{Ingredient}[2],Item{Ingredient}[3],Amount{Ingredient}[3],Item{Ingredient}[4],Amount{Ingredient}[4],Item{Ingredient}[5],Amount{Ingredient}[5],Item{Ingredient}[6],Amount{Ingredient}[6],Item{Ingredient}[7],Amount{Ingredient}[7],Item{Ingredient}[8],Amount{Ingredient}[8],Item{Ingredient}[9],Amount{Ingredient}[9],RecipeNotebookList,IsSecondary,MaterialQualityFactor,DifficultyFactor,QualityFactor,DurabilityFactor,RequiredQuality,RequiredCraftsmanship,RequiredControl,QuickSynthCraftsmanship,QuickSynthControl,SecretRecipeBook,Quest,CanQuickSynth,CanHq,ExpRewarded,Status{Required},Item{Required},IsSpecializationRequired,IsExpert,,,PatchNumber
int32,int32,CraftType,RecipeLevelTable,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,RecipeNotebookList,bit&01,byte,uint16,uint16,uint16,uint32,uint16,uint16,uint16,uint16,SecretRecipeBook,Quest,bit&02,bit&04,bit&08,Status,Item,bit&10,bit&20,byte,uint16,uint16
0,0,"木工","RecipeLevelTable#0","",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,,0,,0,"RecipeNotebookList#0",False,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
1,1,"鍛冶","RecipeLevelTable#1","ブロンズインゴット",1,"銅鉱",2,"錫鉱",1,"",0,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,,0,"RecipeNotebookList#0",False,0,50,80,67,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
2,3,"鍛冶","RecipeLevelTable#1","ハチェット",1,"ブロンズインゴット",1,"メープル材",1,"",0,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
3,3,"鍛冶","RecipeLevelTable#2","バスタードソード",1,"ブロンズインゴット",1,"メープル材",1,"骨片",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
4,3,"鍛冶","RecipeLevelTable#2","アマチュアファイル",1,"ブロンズインゴット",2,"レザー",1,"",0,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
5,1,"鍛冶","RecipeLevelTable#3","ブロンズリベット",1,"ブロンズインゴット",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,,0,"RecipeNotebookList#0",False,50,50,80,67,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
6,3,"鍛冶","RecipeLevelTable#3","ウォーアクス",1,"ブロンズインゴット",2,"メープル材",1,"",0,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
7,3,"鍛冶","RecipeLevelTable#3","アマチュアプライヤー",1,"ブロンズインゴット",1,"ブロンズリベット",1,"フィッシュオイル",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
8,3,"鍛冶","RecipeLevelTable#4","アマチュアアウル",1,"ブロンズインゴット",1,"メープル材",1,"フィッシュオイル",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
9,3,"鍛冶","RecipeLevelTable#4","ソー",1,"ブロンズインゴット",1,"ブロンズリベット",1,"メープル材",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
10,3,"鍛冶","RecipeLevelTable#5","アマチュアクローハンマー",1,"ブロンズインゴット",1,"メープル材",1,"フィッシュオイル",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
11,3,"鍛冶","RecipeLevelTable#5","クロスペインハンマー",1,"ブロンズインゴット",1,"草布",1,"メープル材",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
12,3,"鍛冶","RecipeLevelTable#5","ドーミングハンマー",1,"ブロンズインゴット",1,"メープル材",1,"",0,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
13,3,"鍛冶","RecipeLevelTable#6","アマチュアクリナリーナイフ",1,"ブロンズインゴット",1,"メープル材",1,"砂岩砥石",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
14,3,"鍛冶","RecipeLevelTable#6","アマチュアモーター",1,"ブロンズインゴット",2,"メープル材",1,"",0,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
15,3,"鍛冶","RecipeLevelTable#7","ヴァイキングソード",1,"ブロンズインゴット",1,"レザー",1,"骨片",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
16,3,"鍛冶","RecipeLevelTable#7","チェーサーハンマー",1,"ブロンズインゴット",1,"ブロンズリベット",1,"メープル材",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
17,3,"鍛冶","RecipeLevelTable#7","ラブリュス",1,"ブロンズインゴット",2,"メープル材",1,"",0,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
18,3,"鍛冶","RecipeLevelTable#8","ピック",1,"ブロンズインゴット",1,"草布",1,"メープル材",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
19,3,"鍛冶","RecipeLevelTable#8","ヘッドナイフ",1,"ブロンズインゴット",1,"メープル材",1,"砂岩砥石",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
20,3,"鍛冶","RecipeLevelTable#9","クラウドアクス",1,"ウォーアクス",1,"ブロンズインゴット",1,"",0,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,150,75,100,0,0,0,0,0,"",,False,True,True,"","",False,False,0,65535,0
21,3,"鍛冶","RecipeLevelTable#9","クローハンマー",1,"ブロンズインゴット",1,"メープル材",1,"フィッシュオイル",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
22,3,"鍛冶","RecipeLevelTable#10","ファイル",1,"ブロンズインゴット",2,"ハードレザー",1,"",0,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
23,3,"鍛冶","RecipeLevelTable#10","プライヤー",1,"ブロンズインゴット",1,"ブロンズリベット",1,"クローヴオイル",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
24,3,"鍛冶","RecipeLevelTable#10","モーター",1,"ブロンズインゴット",2,"アッシュ材",1,"",0,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
25,3,"鍛冶","RecipeLevelTable#10","アマチュア・クロスペインハンマー",1,"ブロンズインゴット",1,"草布",1,"アッシュ材",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
26,3,"鍛冶","RecipeLevelTable#10","アマチュアチェーサーハンマー",1,"ブロンズインゴット",1,"ブロンズリベット",1,"アッシュ材",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
27,3,"鍛冶","RecipeLevelTable#11","アウル",1,"ブロンズインゴット",1,"アッシュ材",1,"ジェリーオイル",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
28,3,"鍛冶","RecipeLevelTable#11","サイズ",1,"ブロンズインゴット",1,"アッシュ材",1,"砂岩砥石",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
29,3,"鍛冶","RecipeLevelTable#11","アマチュアドーミングハンマー",1,"ブロンズインゴット",1,"アッシュ材",1,"",0,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
30,3,"鍛冶","RecipeLevelTable#11","アマチュアピック",1,"ブロンズインゴット",1,"草布",1,"アッシュ材",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
31,3,"鍛冶","RecipeLevelTable#11","アマチュアヘッドナイフ",1,"ブロンズインゴット",1,"アッシュ材",1,"砂岩砥石",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
32,3,"鍛冶","RecipeLevelTable#12","クリナリーナイフ",1,"ブロンズインゴット",1,"アッシュ材",1,"砂岩砥石",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
33,3,"鍛冶","RecipeLevelTable#12","モール",1,"ブロンズインゴット",1,"アッシュ材",1,"にかわ",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
34,3,"鍛冶","RecipeLevelTable#12","アマチュアソー",1,"ブロンズインゴット",1,"ブロンズリベット",1,"アッシュ材",1,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
35,3,"鍛冶","RecipeLevelTable#12","アマチュアハチェット",1,"ブロンズインゴット",1,"アッシュ材",1,"",0,"",0,"",0,"",0,"",0,"",0,"ファイアシャード",1,"アースシャード",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
