key,0,1,2,3,4,5,6
#,BNpcBase,Size,Rarity,Sort,Reward[0],Reward[1],Icon
int32,BNpcBase,byte,byte,byte,Item,Item,Image
0,"BNpcBase#0",0,0,0,"","",
1,"BNpcBase#14906",1,1,1,"飼育動物のフリース","飼育動物の乳","ui/icon/070000/070121.tex"
2,"BNpcBase#14907",1,2,1,"飼育動物の乳","飼育動物のフリース","ui/icon/070000/070122.tex"
3,"BNpcBase#14908",1,1,2,"飼育動物の爪片","飼育動物の獣毛","ui/icon/070000/070123.tex"
4,"BNpcBase#14909",1,2,2,"飼育動物の獣毛","飼育動物の爪片","ui/icon/070000/070124.tex"
5,"BNpcBase#14910",1,1,3,"飼育動物のフリース","飼育動物の卵","ui/icon/070000/070125.tex"
6,"BNpcBase#14911",1,2,3,"飼育動物の卵","飼育動物のフリース","ui/icon/070000/070126.tex"
7,"BNpcBase#14912",1,1,4,"飼育動物の爪片","飼育動物の獣毛","ui/icon/070000/070127.tex"
8,"BNpcBase#14913",1,2,4,"飼育動物の獣毛","飼育動物の爪片","ui/icon/070000/070128.tex"
9,"BNpcBase#14914",1,1,5,"飼育動物の牙","飼育動物の脱皮殻","ui/icon/070000/070129.tex"
10,"BNpcBase#14915",1,2,5,"飼育動物の脱皮殻","飼育動物の牙","ui/icon/070000/070130.tex"
11,"BNpcBase#14916",2,1,6,"飼育動物の卵","飼育動物の羽根","ui/icon/070000/070131.tex"
12,"BNpcBase#14917",2,2,6,"飼育動物の羽根","飼育動物の卵","ui/icon/070000/070132.tex"
13,"BNpcBase#14918",2,1,7,"飼育動物の獣毛","飼育動物の乳","ui/icon/070000/070133.tex"
14,"BNpcBase#14919",2,2,7,"飼育動物の獣毛","飼育動物の角片","ui/icon/070000/070134.tex"
15,"BNpcBase#14920",2,1,8,"飼育動物の獣毛","飼育動物の羽根","ui/icon/070000/070135.tex"
16,"BNpcBase#14921",2,2,8,"飼育動物の羽根","飼育動物の獣毛","ui/icon/070000/070136.tex"
17,"BNpcBase#14922",2,1,9,"飼育動物の脱皮殻","飼育動物の爪片","ui/icon/070000/070137.tex"
18,"BNpcBase#14923",2,2,9,"飼育動物の爪片","飼育動物の脱皮殻","ui/icon/070000/070138.tex"
19,"BNpcBase#14924",3,1,10,"飼育動物の乳","飼育動物の角片","ui/icon/070000/070139.tex"
20,"BNpcBase#14925",3,2,10,"飼育動物の角片","飼育動物の乳","ui/icon/070000/070140.tex"
21,"BNpcBase#14926",3,1,13,"飼育動物の乳","飼育動物の角片","ui/icon/070000/070141.tex"
22,"BNpcBase#14927",3,2,13,"飼育動物の角片","飼育動物のフリース","ui/icon/070000/070142.tex"
23,"BNpcBase#14928",3,1,11,"飼育動物の卵","飼育動物の羽根","ui/icon/070000/070143.tex"
24,"BNpcBase#14929",3,2,11,"飼育動物の羽根","飼育動物の卵","ui/icon/070000/070144.tex"
25,"BNpcBase#14930",1,3,12,"飼育動物のフリース","飼育動物の獣毛","ui/icon/070000/070145.tex"
26,"BNpcBase#14931",1,3,14,"飼育動物の脱皮殻","飼育動物の爪片","ui/icon/070000/070146.tex"
27,"BNpcBase#14932",2,3,15,"飼育動物の爪片","飼育動物のフリース","ui/icon/070000/070147.tex"
28,"BNpcBase#14933",3,3,16,"飼育動物の爪片","飼育動物の牙","ui/icon/070000/070148.tex"
29,"BNpcBase#14934",3,3,17,"飼育動物の牙","飼育動物の爪片","ui/icon/070000/070149.tex"
30,"BNpcBase#14935",3,3,18,"飼育動物の羽根","飼育動物の爪片","ui/icon/070000/070150.tex"
31,"BNpcBase#16068",2,3,21,"飼育動物の牙","飼育動物の獣毛","ui/icon/070000/070151.tex"
32,"BNpcBase#16069",1,3,22,"飼育動物の脱皮殻","飼育動物の牙","ui/icon/070000/070152.tex"
33,"BNpcBase#14936",1,1,19,"飼育動物の牙","飼育動物の獣毛","ui/icon/070000/070153.tex"
34,"BNpcBase#14937",1,2,19,"飼育動物の獣毛","飼育動物の牙","ui/icon/070000/070154.tex"
35,"BNpcBase#14938",3,1,20,"飼育動物の牙","飼育動物の角片","ui/icon/070000/070155.tex"
36,"BNpcBase#14939",3,2,20,"飼育動物の角片","飼育動物の牙","ui/icon/070000/070156.tex"
37,"BNpcBase#14940",3,3,19,"飼育動物の牙","飼育動物の獣毛","ui/icon/070000/070157.tex"
38,"BNpcBase#16340",1,3,23,"飼育動物のフリース","飼育動物の獣毛","ui/icon/070000/070158.tex"
39,"BNpcBase#16341",2,3,24,"飼育動物の羽根","飼育動物の卵","ui/icon/070000/070159.tex"
40,"BNpcBase#16628",3,3,22,"飼育動物の牙","飼育動物の脱皮殻","ui/icon/070000/070163.tex"
41,"BNpcBase#16629",3,3,25,"飼育動物の脱皮殻","飼育動物の爪片","ui/icon/070000/070160.tex"
42,"BNpcBase#16630",3,3,26,"飼育動物の爪片","飼育動物の角片","ui/icon/070000/070162.tex"
43,"BNpcBase#16631",3,3,5,"飼育動物の牙","飼育動物の脱皮殻","ui/icon/070000/070161.tex"
