key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
#,,GatheringItem[0],GatheringItem[1],GatheringItem[2],GatheringItem[3],GatheringItem[4],GatheringItem[5],GatheringItem[6],GatheringItem[7],GatheringItem[8],GatheringItem[9],GatheringItem[10],GatheringItem[11],GatheringItem[12],GatheringItem[13],GatheringItem[14],GatheringItem[15],GatheringItem[16],GatheringItem[17],GatheringItem[18],GatheringItem[19],GatheringItem[20],GatheringItem[21],GatheringItem[22],GatheringItem[23],GatheringItem[24],GatheringItem[25],GatheringItem[26],GatheringItem[27],GatheringItem[28],GatheringItem[29],GatheringItem[30],GatheringItem[31],GatheringItem[32],GatheringItem[33],GatheringItem[34],GatheringItem[35],GatheringItem[36],GatheringItem[37],GatheringItem[38],GatheringItem[39],GatheringItem[40],GatheringItem[41],GatheringItem[42],GatheringItem[43],GatheringItem[44],GatheringItem[45],GatheringItem[46],GatheringItem[47],GatheringItem[48],GatheringItem[49],GatheringItem[50],GatheringItem[51],GatheringItem[52],GatheringItem[53],GatheringItem[54],GatheringItem[55],GatheringItem[56],GatheringItem[57],GatheringItem[58],GatheringItem[59],GatheringItem[60],GatheringItem[61],GatheringItem[62],GatheringItem[63],GatheringItem[64],GatheringItem[65],GatheringItem[66],GatheringItem[67],GatheringItem[68],GatheringItem[69],GatheringItem[70],GatheringItem[71],GatheringItem[72],GatheringItem[73],GatheringItem[74],GatheringItem[75],GatheringItem[76],GatheringItem[77],GatheringItem[78],GatheringItem[79],GatheringItem[80],GatheringItem[81],GatheringItem[82],GatheringItem[83],GatheringItem[84],GatheringItem[85],GatheringItem[86],GatheringItem[87],GatheringItem[88],GatheringItem[89],GatheringItem[90],GatheringItem[91],GatheringItem[92],GatheringItem[93],GatheringItem[94],GatheringItem[95],GatheringItem[96],GatheringItem[97],GatheringItem[98],GatheringItem[99]
int32,byte,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem,GatheringItem
0,9,"Copper Ore","Fire Shard","Ice Shard","Wind Shard","Earth Shard","Lightning Shard","Water Shard","Muddy Water","Bone Chip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,"Tin Ore","Raw Sunstone","Raw Lapis Lazuli","Soiled Femur","Zinc Ore","Obsidian","Potter's Clay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,"Iron Ore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,"Raw Malachite","Raw Sphene","Raw Fluorite","Raw Danburite","Sunrise Tellin","Alumen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,"Effervescent Water","Silver Ore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,"Fire Crystal","Ice Crystal","Wind Crystal","Earth Crystal","Lightning Crystal","Water Crystal","Wyvern Obsidian","Saltpeter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,"Granite","Raw Garnet","Little Worm","Raw Heliodor","Raw Goshenite","Raw Peridot","Mythril Ore","Raw Amethyst","Raw Aquamarine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,"Raw Tourmaline","Raw Spinel","Raw Zircon","Jade","Black Alumen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
