key,0,1,2
#,Quest,,
int32,Quest,uint32,byte
0,,0,0
1,"Brotherly Love",353,2
2,"Brotherly Love",354,3
3,"In the Company of Heroes",355,4
4,"History Repeating",356,5
5,"Lord of Crags",357,6
6,"Lord of Crags",358,7
7,"Brotherly Love",344,12
8,"Brotherly Love",345,13
9,"Come Highly Recommended",346,14
10,"Power of Deduction",347,15
11,"Brotherly Love",348,22
12,"Brotherly Love",349,23
13,"Eyes on Me",350,24
14,"When the Worm Turns",351,25
15,"The Ultimate Weapon",352,26
16,"Every Little Thing She Does Is Magitek",359,31
17,"In Pursuit of the Past",360,41
18,"Sounding Out the Amphitheatre",361,42
19,"Bolt, Chain, and Island",365,43
20,"Close Encounters of the VIth Kind",366,44
21,"Lord of the Hive",362,46
22,"Matoya's Cave",363,47
23,"Waiting for the Wind to Change",364,48
24,"Heavensward",0,45
25,"The Ultimate Weapon",0,1
26,"The Ultimate Weapon",0,11
27,"The Ultimate Weapon",0,21
28,"The Lady of Bliss",400,52
29,"The Price of Freedom",401,53
30,"The Resonant",402,54
31,"Stormblood",0,51
32,"The Lord of the Revel",403,62
33,"The Will to Live",404,63
34,"Naadam",405,64
35,"Stormblood",0,61
36,,0,65
37,,0,66
38,,0,67
39,,0,68
40,,0,69
41,,0,70
