key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,Territory,AetherCurrent[0],AetherCurrent[1],AetherCurrent[2],AetherCurrent[3],AetherCurrent[4],AetherCurrent[5],AetherCurrent[6],AetherCurrent[7],AetherCurrent[8],AetherCurrent[9],AetherCurrent[10],AetherCurrent[11],AetherCurrent[12],AetherCurrent[13],AetherCurrent[14]
int32,TerritoryType,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent
0,,,,,,,,,,,,,,,,
1,"r2f1","千年的背叛","石匠的烦恼","露营地食材守卫战","小试牛刀的眷属狩猎","冰雪废堡暮卫塔","",,"",,"","",,,,
2,"d2f1","翻越灵峰","巡回调查","天然驱龙香","驱逐巨鸟","龙眼看人低","",,"",,,,"",,,""
3,"d2f2","沉睡在禁书库的论文","冒险者是同伴哥布！","维护以太之光","人类的罪孽","使魔智蛙","",,,"",,"",,,,""
4,"d2f3","狩猎邪龙","莫古噗的弱点","路霸","忙碌的园艺家们","饿到不行",,"","","",,,,,,""
5,"a2f1","魔大陆的钥匙","保存完好的飞膜","在废村等待的人","驱虫植物","不思进取的古努瓦努",,,,"","",,"",,,""
6,"a2f2","振翅高飞","亚拉戈的遗产","信赖导航","合成兽之岛","蓝色铠甲的猛将",,,,,,,,,,
7,"g3f1","温暖的款待","暴走的魔导兵器","隐蔽的真相","领地交涉人","谢谢你，帝国军","",,"",,,,"","",,
8,"e3f1","片刻的风平浪静","暗中联络","走出绝境","飞身向剑！","紫水宫的异变","",,,,"",,,"",,""
9,"g3f2","自由或是死亡","夺回采石场","阿拉基利的恩人","为了填饱肚子","寒炉村的年轻人",,"",,"",,,"",,,""
10,"e3f2","迈出的一步","臭有所用","飞吧，家麻雀","栖息地迁徙","尊严不再",,,"","",,,"",,"",
11,"g3f3","红莲之狂潮","预想之外的敌人","悼念彷徨的死灵","帝国兵与秘密的地图","魔物的使用方法",,,"",,,,,"","",""
12,"e3f3","响彻草原的欢呼声","缄默之民","捕获胆小的羊","默默无闻四十载","马兀赤的烦恼","",,"",,"",,,"",,
13,"n4f1","通过束带路！"," 慰劳乔布要塞"," 粉刷严命城"," 阿马罗与失踪的卫兵"," 给瞭望塔的命令","",,,,"",,,"","",
14,"n4f3","我在这里沉睡"," 过于勤劳的鼹灵族"," 救命！拾荒者"," 矿工的珍贵护身符"," 猫秘族的矿工","",,,"",,,"",,"",
15,"n4f4","美餐一顿"," 寻寻觅觅"," 装点家居"," 成为名人的第一步"," 新来的阿马罗",,,"",,,"",,,"",""
16,"n4f2","熄灭最后的光"," 拆船的造船工"," 惨剧之村"," 享乐城市的追兵"," 矮人族的不良青年","",,,,"",,,"","",
17,"n4f5","奇坦那神影洞"," 残存回忆的要塞"," 昏暗森林的守护者"," 与露宿地的交流"," 双胞胎与双元灵","",,"",,,"",,,,""
18,"n4f6","那个人的结局"," 潮池的怪人"," 优等市民的义务"," 言论自由"," 优良市民需注意形象","",,"",,,"",,,,""
19,"l1f1","超越幻想，究极神兵",,,,,,,,,,,,,,
20,"k5f1","刻印的足迹"," 迷路的小毛球"," 小萨雷安的少年"," 拾穗人的愿望"," 森林贤者","","","","","","","","","",""
21,"m5f1","微小的日常"," 炼金术士与舞者"," 来自草原的年轻冒险者"," 星战士团的巡逻"," 采集苏摩草之人","","","","","","","","","",""
22,"m5f2","神之门"," 补给队员与护卫之旅"," 不请自来的青磷技师"," 向孩子传达的希望"," 不肯离开车站的少年","","","","","","","","","",""
23,"u5f1","于里昂热的决心"," 有罪！处以咔嚓咔嚓山之刑！"," 兔兔族的叹息海食堂"," 警惕亚拉戈零元购陷阱"," 我的名字与我心中的烦恼","","","","","","","","","",""
24,"n5f1","带来幸福的鸟"," 飞翔吧迅尾兽"," 学院研究生的委托"," 天测园的工作内容"," 与访客相遇","","","","","","","","","",""
25,"u5f2","你不是孤独一人"," 整合的异亚之死"," 交流的积极作用"," 战斗能力获得质的飞跃"," 战斗有助于进化","","","","","","","","","",""
26,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,
