key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
#,Name,ActionTimeline[0],ActionTimeline[1],ActionTimeline[2],ActionTimeline[3],ActionTimeline[4],ActionTimeline[5],ActionTimeline[6],,,,EmoteCategory,EmoteMode,,,HasCancelEmote,DrawsWeapon,,TextCommand,Icon,LogMessage{Targeted},LogMessage{Untargeted},UnlockLink
int32,str,ActionTimeline,ActionTimeline,ActionTimeline,ActionTimeline,ActionTimeline,ActionTimeline,ActionTimeline,bit&01,bit&02,bit&04,EmoteCategory,EmoteMode,bit&08,bit&10,bit&20,bit&40,uint16,TextCommand,Image,LogMessage,LogMessage,uint32
0,"","","","","","","","",True,True,True,"","EmoteMode#0",False,False,False,False,0,,,"","",0
1,"おどろく","emote/amazed","","","emote/u_amazed","emote/u_amazed","","",True,True,True,"全般","EmoteMode#0",False,True,False,False,5014,"/surprised","ui/icon/064000/064001.tex","<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>は<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>におどろいた。","<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>はおどろいた。",0
2,"不満を表す","emote/angry","","emote/add_angry","emote/add_angry","emote/add_angry","","",True,True,True,"全般","EmoteMode#0",False,True,False,False,5009,"/angry","ui/icon/064000/064002.tex","<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>は<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>に不満を表した。","<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>は不満を表した。",0
3,"怒る","emote/angry_st","","emote/add_angry_st","emote/add_angry_st","emote/add_angry_st","","",True,True,True,"全般","EmoteMode#0",False,True,False,False,5003,"/furious","ui/icon/064000/064003.tex","<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>は<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>に怒った。","<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>は怒った。",0
4,"照れる","emote/blush","","","","","","",False,False,False,"全般","EmoteMode#0",False,True,False,False,1006,"/blush","ui/icon/064000/064004.tex","<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>は<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>に照れてみせた。","<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>は照れた。",0
5,"お辞儀する","emote/bow","","","","","","",False,False,False,"全般","EmoteMode#0",False,True,False,False,1,"/bow","ui/icon/064000/064005.tex","<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>は<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>にお辞儀した。","<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>はお辞儀した。",0
6,"応援する","emote/cheer","","","emote/u_cheer","emote/u_cheer","","",True,True,True,"全般","EmoteMode#0",False,True,False,False,2004,"/cheer","ui/icon/064000/064006.tex","<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>は<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>を応援した。","<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>は応援した。",0
7,"拍手する","emote/clap","","emote/j_clap","emote/s_clap","emote/u_clap","","",True,True,True,"全般","EmoteMode#0",False,True,False,False,2002,"/clap","ui/icon/064000/064007.tex","<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>は<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>に拍手した。","<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>は拍手した。",0
