key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
#,SupplyItem[0],SetQuantity[0],SetsRequired[0],SupplyItem[1],SetQuantity[1],SetsRequired[1],SupplyItem[2],SetQuantity[2],SetsRequired[2],SupplyItem[3],SetQuantity[3],SetsRequired[3],SupplyItem[4],SetQuantity[4],SetsRequired[4],SupplyItem[5],SetQuantity[5],SetsRequired[5],SupplyItem[6],SetQuantity[6],SetsRequired[6],SupplyItem[7],SetQuantity[7],SetsRequired[7],SupplyItem[8],SetQuantity[8],SetsRequired[8],SupplyItem[9],SetQuantity[9],SetsRequired[9],SupplyItem[10],SetQuantity[10],SetsRequired[10],SupplyItem[11],SetQuantity[11],SetsRequired[11]
int32,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16
0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
1,"コバルトリベット",3,3,"コバルトネイル",3,3,"ダークスチールインゴット",3,3,"エレクトラムインゴット",3,3,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
2,"ローズウッド材",3,3,"ミスリルインゴット",3,3,"エレクトラムインゴット",3,3,"ゴールドエンチャントインク",3,3,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
3,"神代木",2,3,"ターコイズ",3,3,"ローズゴールドインゴット",3,3,"ヒッポグリフソフトレザー",2,3,"ワニス",3,3,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
4,"エレクトラムインゴット",1,3,"深緋のエンチャントインク",1,3,"精霊銀砂",1,3,"無属性クリスタル",1,3,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
5,"エレクトラムインゴット",1,3,"翠緑のエンチャントインク",1,3,"精霊銀砂",1,3,"無属性クリスタル",1,3,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
6,"エレクトラムインゴット",1,3,"紺碧のエンチャントインク",1,3,"精霊銀砂",1,3,"無属性クリスタル",1,3,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
50,"コバルトリベット",3,3,"コバルトネイル",3,3,"ダークスチールインゴット",3,3,"エレクトラムインゴット",3,3,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
