key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
#,SupplyItem[0],SetQuantity[0],SetsRequired[0],SupplyItem[1],SetQuantity[1],SetsRequired[1],SupplyItem[2],SetQuantity[2],SetsRequired[2],SupplyItem[3],SetQuantity[3],SetsRequired[3],SupplyItem[4],SetQuantity[4],SetsRequired[4],SupplyItem[5],SetQuantity[5],SetsRequired[5],SupplyItem[6],SetQuantity[6],SetsRequired[6],SupplyItem[7],SetQuantity[7],SetsRequired[7],SupplyItem[8],SetQuantity[8],SetsRequired[8],SupplyItem[9],SetQuantity[9],SetsRequired[9],SupplyItem[10],SetQuantity[10],SetsRequired[10],SupplyItem[11],SetQuantity[11],SetsRequired[11]
int32,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16,CompanyCraftSupplyItem,uint16,uint16
0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
1,"Cobalt Rivets",3,3,"Cobalt Nails",3,3,"Darksteel Ingot",3,3,"Electrum Ingot",3,3,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
2,"Rosewood Lumber",3,3,"Mythril Ingot",3,3,"Electrum Ingot",3,3,"Enchanted Gold Ink",3,3,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
3,"Ancient Lumber",2,3,"Turquoise",3,3,"Rose Gold Ingot",3,3,"Hard Hippogryph Leather",2,3,"Varnish",3,3,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
4,"Electrum Ingot",1,3,"Deep-red Enchanted Ink",1,3,"Mythrite Sand",1,3,"Unaspected Crystal",1,3,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
5,"Electrum Ingot",1,3,"Deep-green Enchanted Ink",1,3,"Mythrite Sand",1,3,"Unaspected Crystal",1,3,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
6,"Electrum Ingot",1,3,"Deep-blue Enchanted Ink",1,3,"Mythrite Sand",1,3,"Unaspected Crystal",1,3,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
50,"Cobalt Rivets",3,3,"Cobalt Nails",3,3,"Darksteel Ingot",3,3,"Electrum Ingot",3,3,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0
