key,0,1,2
#,EurekaMagiciteItemType,ClassJobCategory,Item
int32,EurekaMagiciteItemType,ClassJobCategory,Item
0,"","",""
1,"攻勢","白魔道士 学者 占星術師 賢者","術士の記憶"
2,"攻勢","ナイト 戦士 暗黒騎士 ガンブレイカー","闘士の記憶"
3,"守勢","モンク 竜騎士 吟遊詩人 白魔道士 黒魔道士 召喚士 学者 忍者 機工士 占星術師 侍 赤魔道士 踊り子 リーパー 賢者","重騎兵の記憶"
4,"支援","ナイト モンク 戦士 竜騎士 吟遊詩人 白魔道士 黒魔道士 召喚士 学者 忍者 機工士 暗黒騎士 占星術師 侍 赤魔道士 ガンブレイカー 踊り子 リーパー 賢者","ロゴス・プロテス"
5,"妨害","ナイト モンク 戦士 竜騎士 吟遊詩人 白魔道士 黒魔道士 召喚士 学者 忍者 機工士 暗黒騎士 占星術師 侍 赤魔道士 ガンブレイカー 踊り子 リーパー 賢者","ロゴス・パライズ"
6,"斥候","ナイト 戦士 白魔道士 学者 暗黒騎士 占星術師 ガンブレイカー 賢者","ロゴス・フェイント"
7,"斥候","ナイト モンク 戦士 竜騎士 吟遊詩人 白魔道士 黒魔道士 召喚士 学者 忍者 機工士 暗黒騎士 占星術師 侍 赤魔道士 ガンブレイカー 踊り子 リーパー 賢者","ロゴス・スウェー"
8,"妨害","ナイト モンク 戦士 竜騎士 吟遊詩人 白魔道士 黒魔道士 召喚士 学者 忍者 機工士 暗黒騎士 占星術師 侍 赤魔道士 ガンブレイカー 踊り子 リーパー 賢者","ロゴス・トランキライザー"
9,"治癒","ナイト モンク 戦士 竜騎士 吟遊詩人 黒魔道士 召喚士 忍者 機工士 暗黒騎士 侍 赤魔道士 ガンブレイカー 踊り子 リーパー","ロゴス・ケアル"
10,"治癒","ナイト モンク 戦士 竜騎士 吟遊詩人 黒魔道士 召喚士 忍者 機工士 暗黒騎士 侍 赤魔道士 ガンブレイカー 踊り子 リーパー","ロゴス・エスナ"
11,"守勢","モンク 竜騎士 吟遊詩人 白魔道士 黒魔道士 召喚士 学者 忍者 機工士 占星術師 侍 赤魔道士 踊り子 リーパー 賢者","ロゴス・エンミティ"
12,"治癒","ナイト モンク 戦士 竜騎士 吟遊詩人 黒魔道士 召喚士 忍者 機工士 暗黒騎士 侍 赤魔道士 ガンブレイカー 踊り子 リーパー","ロゴス・レイズ"
13,"守勢","ナイト 戦士 暗黒騎士 ガンブレイカー","守護者の記憶"
14,"治癒","白魔道士 学者 占星術師 賢者","司祭の記憶"
15,"攻勢","モンク 竜騎士 吟遊詩人 黒魔道士 召喚士 忍者 機工士 侍 赤魔道士 踊り子 リーパー","武人の記憶"
16,"守勢","ナイト モンク 戦士 竜騎士 吟遊詩人 白魔道士 黒魔道士 召喚士 学者 忍者 機工士 暗黒騎士 占星術師 侍 赤魔道士 ガンブレイカー 踊り子 リーパー 賢者","英傑の加護"
17,"支援","ナイト モンク 戦士 竜騎士 吟遊詩人 白魔道士 黒魔道士 召喚士 学者 忍者 機工士 暗黒騎士 占星術師 侍 赤魔道士 ガンブレイカー 踊り子 リーパー 賢者","ロゴス・シェル"
18,"斥候","ナイト モンク 戦士 竜騎士 吟遊詩人 白魔道士 黒魔道士 召喚士 学者 忍者 機工士 暗黒騎士 占星術師 侍 赤魔道士 ガンブレイカー 踊り子 リーパー 賢者","ロゴス・フェザーステップ"
19,"妨害","モンク 竜騎士 吟遊詩人 黒魔道士 召喚士 忍者 機工士 侍 赤魔道士 踊り子 リーパー","ロゴス・スピリットダート"
20,"妨害","モンク 竜騎士 吟遊詩人 白魔道士 黒魔道士 召喚士 学者 忍者 機工士 占星術師 侍 赤魔道士 踊り子 リーパー 賢者","ロゴス・ディスペル"
21,"斥候","ナイト モンク 戦士 竜騎士 吟遊詩人 白魔道士 黒魔道士 召喚士 学者 機工士 暗黒騎士 占星術師 侍 赤魔道士 ガンブレイカー 踊り子 リーパー 賢者","ロゴス・ステルス"
22,"攻勢","ナイト モンク 戦士 竜騎士 吟遊詩人 白魔道士 黒魔道士 召喚士 学者 忍者 機工士 暗黒騎士 占星術師 侍 赤魔道士 ガンブレイカー 踊り子 リーパー 賢者","ロゴス・ブラッドバス"
23,"治癒","モンク 竜騎士 吟遊詩人 黒魔道士 召喚士 忍者 機工士 侍 赤魔道士 踊り子 リーパー","ロゴス・ケアルラ"
24,"支援","ナイト モンク 戦士 竜騎士 吟遊詩人 白魔道士 黒魔道士 召喚士 学者 忍者 機工士 暗黒騎士 占星術師 侍 赤魔道士 ガンブレイカー 踊り子 リーパー 賢者","ロゴス・ストンスキン"
25,"斥候","ナイト モンク 戦士 竜騎士 吟遊詩人 白魔道士 黒魔道士 召喚士 学者 忍者 機工士 暗黒騎士 占星術師 侍 赤魔道士 ガンブレイカー 踊り子 リーパー 賢者","盗賊の記憶"
26,"攻勢","白魔道士 黒魔道士 召喚士 学者 占星術師 赤魔道士 賢者","ロゴス・マジックバースト"
27,"攻勢","ナイト モンク 戦士 竜騎士 忍者 暗黒騎士 侍 ガンブレイカー リーパー","ロゴス・ダブルエッジ"
28,"攻勢","吟遊詩人 機工士 踊り子","ロゴス・イーグルアイ"
